Year,Players,Runs,Venue,Against,Opponents
2015,R G Sharma-S Dhawan-A M Rahane-V Kohli-M S Dhoni-S K Raina-A R Patel-B Kumar-Harbhajan Singh-U T Yadav-M M Sharma,22,Home,SA,D W Steyn-K Rabada-M Morkel-J-P Duminy-Imran Tahir-F Behardien-H M Amla-Q de Kock-F du Plessis-A B de Villiers-D A Miller
2014,A M Rahane-R G Sharma-A T Rayudu-V Kohli-S K Raina-R V Uthappa-S T R Binny-A R Patel-K V Sharma-U T Yadav-D S Kulkarni,153,Home,SL,K M D Kulasekara-A D Mathews-R M S Eranga-N L T Perera-S Prasanna-B A W Mendis-T M Dilshan-M D K Perera-L D Chandimal-D P M Jayawardene-H D R Thirimanne
2007,S C Ganguly-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-R V Uthappa-I K Pathan-Harbhajan Singh-M Kartik-Zaheer Khan-R P Singh,46,Home,PAK,Shoaib Akhtar-Umar Gul-Sohail Tanvir-Shahid Afridi-Shoaib Malik-Abdur Rehman-Salman Butt-Younis Khan-Mohammad Yousuf-Misbah-ul-Haq-Kamran Akmal
2012,A M Rahane-G Gambhir-V Kohli-Yuvraj Singh-S K Raina-M S Dhoni-R A Jadeja-R Ashwin-B Kumar-I Sharma-Mohammed Shami,127,Home,ENG,S T Finn-J W Dernbach-C R Woakes-S R Patel-J C Tredwell-J E Root-A N Cook-I R Bell-K P Pietersen-E J G Morgan-C Kieswetter
2012,B Kumar-A B Dinda-I Sharma-R Ashwin-S K Raina-R A Jadeja-Yuvraj Singh-G Gambhir-V Sehwag-V Kohli-M S Dhoni,-85,Home,PAK,Nasir Jamshed-Mohammad Hafeez-Azhar Ali-Younis Khan-Misbah-ul-Haq-Shoaib Malik-Kamran Akmal-Umar Gul-Saeed Ajmal-Junaid Khan-Mohammad Irfan
2015,B Kumar-U T Yadav-R Ashwin-A Mishra-S T R Binny-S K Raina-V Kohli-R G Sharma-S Dhawan-A M Rahane-M S Dhoni,-5,Home,SA,Q de Kock-H M Amla-F du Plessis-A B de Villiers-D A Miller-J-P Duminy-F Behardien-D W Steyn-K Rabada-M Morkel-Imran Tahir
2012,B Kumar-I Sharma-A B Dinda-R Ashwin-R A Jadeja-S K Raina-V Kohli-A M Rahane-G Gambhir-Yuvraj Singh-M S Dhoni,-9,Home,ENG,A N Cook-I R Bell-K P Pietersen-E J G Morgan-C Kieswetter-S R Patel-J E Root-T T Bresnan-J C Tredwell-S T Finn-J W Dernbach
2009,V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-S K Raina-Harbhajan Singh-P Kumar-R A Jadeja-A Nehra-I Sharma,99,Home,AUS,B W Hilfenhaus-P M Siddle-M G Johnson-N M Hauritz-A C Voges-S R Watson-T D Paine-R T Ponting-C L White-M E K Hussey-S E Marsh
2007,S C Ganguly-S R Tendulkar-Yuvraj Singh-M S Dhoni-R Dravid-R V Uthappa-I K Pathan-M Kartik-Harbhajan Singh-Zaheer Khan-R P Singh,8,Home,AUS,B Lee-N W Bracken-M G Johnson-J R Hopes-A Symonds-G B Hogg-A C Gilchrist-M L Hayden-R T Ponting-M J Clarke-B J Hodge
2014,A M Rahane-S Dhawan-A T Rayudu-V Kohli-S K Raina-M S Dhoni-R A Jadeja-B Kumar-Mohammed Shami-A Mishra-U T Yadav,48,Home,WI,R Rampaul-J E Taylor-S J Benn-D J J Bravo-D J G Sammy-M N Samuels-A D Russell-K A Pollard-D R Smith-D M Bravo-D Ramdin
