Name,Rating,LogRating
L L Tsotsobe,743,2.871
Mohammad Hafeez,727,2.8615
Saeed Ajmal,696,2.8426
M Morkel,695,2.842
R Ashwin,676,2.8299
G P Swann,675,2.8293
D L Vettori,669,2.8254
S T Finn,665,2.8228
Shakib Al Hasan,655,2.8162
K D Mills,642,2.8075
Abdur Razzak,637,2.8041
J D P Oram,635,2.8028
D W Steyn,627,2.7973
J M Anderson,619,2.7917
Shahid Afridi,619,2.7917
M G Johnson,617,2.7903
K A J Roach,613,2.7875
C J McKay,612,2.7868
S L Malinga,609,2.7846
S R Watson,606,2.7825
K M D Kulasekara,601,2.7789
S C J Broad,601,2.7789
D T Johnston,598,2.7767
B Lee,592,2.7723
R Rampaul,589,2.7701
X J Doherty,587,2.7686
R A Jadeja,574,2.7589
Umar Gul,572,2.7574
T T Bresnan,571,2.7566
T G Southee,567,2.7536
Harbhajan Singh,562,2.7497
Zaheer Khan,559,2.7474
Mashrafe Mortaza,550,2.7404
N L T Perera,548,2.7388
P Utseya,537,2.73
R J Peterson,527,2.7218
B A W Mendis,517,2.7135
G H Dockrell,516,2.7126
W B Rankin,508,2.7059
D J G Sammy,503,2.7016
A D Mathews,499,2.6981
Rubel Hossain,497,2.6964
T M Odoyo,496,2.6955
H M R Herath,495,2.6946
Sohail Tanvir,492,2.692
R Vinay Kumar,485,2.6857
J H Kallis,484,2.6848
H A Varaiya,482,2.683
Mudassar Bukhari,478,2.6794
S P Narine,476,2.6776
P M Seelaar,467,2.6693
P W Borren,466,2.6684
N L McCullum,465,2.6675
S J Benn,460,2.6628
Shafiul Islam,460,2.6628
W D Parnell,459,2.6618
J E Taylor,455,2.658
D J J Bravo,454,2.6571
H S Baidwan,452,2.6551
Yuvraj Singh,446,2.6493
K J O'Brien,445,2.6484
S Randiv,444,2.6474
C B Mpofu,442,2.6454
A D Russell,436,2.6395
Abdur Rehman,429,2.6325
A G Cremer,428,2.6314
T Mupariwa,427,2.6304
Naeem Islam,425,2.6284
A R Cusack,422,2.6253
Mahmudullah,415,2.618
A Mishra,411,2.6138
H Osinde,410,2.6128
Khurram Chohan,409,2.6117
B W Hilfenhaus,406,2.6085
M N Samuels,404,2.6064
Shoaib Malik,403,2.6053
Rizwan Cheema,396,2.5977
I K Pathan,395,2.5966
Wahab Riaz,394,2.5955
J F Mooney,394,2.5955
Aizaz Cheema,391,2.5922
J W Dernbach,391,2.5922
N N Odhiambo,389,2.5899
R M Haq,384,2.5843
S O Tikolo,384,2.5843
I Sharma,382,2.5821
Mohammad Amir,382,2.5821
P R Stirling,379,2.5786
T M Dilshan,377,2.5763
K A Pollard,375,2.574
J E C Franklin,374,2.5729
E Chigumbura,372,2.5705
N O Miller,370,2.5682
J O Ngoche,364,2.5611
Samiullah Shenwari,355,2.5502
P P Ojha,353,2.5478
S R Patel,349,2.5428
Mohammad Nabi,343,2.5353
D T Christian,343,2.5353
J P Duminy,342,2.534
