Name,Rating,LogRating
M Muralitharan,855,2.932
D W Steyn,844,2.9263
M G Johnson,807,2.9069
S R Clark,760,2.8808
M Ntini,741,2.8698
Harbhajan Singh,735,2.8663
J M Anderson,677,2.8306
P L Harris,669,2.8254
W P U Vaas,664,2.8222
Zaheer Khan,650,2.8129
R J Sidebottom,641,2.8069
J E Taylor,626,2.7966
Umar Gul,621,2.7931
D L Vettori,620,2.7924
S E Bond,610,2.7853
Mohammad Asif,607,2.7832
J H Kallis,603,2.7803
C S Martin,600,2.7782
A Flintoff,597,2.776
Danish Kaneria,594,2.7738
I Sharma,580,2.7634
M S Panesar,572,2.7574
F H Edwards,569,2.7551
G P Swann,567,2.7536
R W Price,538,2.7308
B A W Mendis,532,2.7259
I E O'Brien,523,2.7185
M Morkel,503,2.7016
S J Harmison,485,2.6857
C R D Fernando,485,2.6857
P M Siddle,479,2.6803
D J J Bravo,472,2.6739
J E C Franklin,465,2.6675
S L Malinga,457,2.6599
S Sreesanth,456,2.659
J D P Oram,446,2.6493
S C J Broad,443,2.6464
Shakib Al Hasan,442,2.6454
Mashrafe Mortaza,433,2.6365
D R Tuffey,412,2.6149
C H Gayle,399,2.601
A Mishra,376,2.5752
R P Singh,369,2.567
Shahadat Hossain,367,2.5647
J S Patel,359,2.5551
Mohammad Sami,347,2.5403
G Onions,343,2.5353
 Shahid Afridi,313,2.4955
M M Patel,295,2.4698
C T Tremlett,269,2.4298
S J Benn,268,2.4281
Abdur Rehman,260,2.415
Enamul Haque jnr,257,2.4099
K T G Prasad,236,2.3729
V Sehwag,235,2.3711
H M R Herath,228,2.3579
S R Watson,226,2.3541
N M Hauritz,216,2.3345
D J G Sammy,212,2.3263
M R Gillespie,206,2.3139
L E Plunkett,206,2.3139
T G Southee,179,2.2529
T L Best,178,2.2504
M T Thushara,176,2.2455
A G Cremer,171,2.233
T Panyangara,167,2.2227
S M Katich,150,2.1761
R J Peterson,148,2.1703
S R Tendulkar,145,2.1614
M F Maharoof,143,2.1553
B W Hilfenhaus,142,2.1523
T M Dilshan,135,2.1303
Mohammad Ashraful,134,2.1271
R O Hinds,133,2.1239
U W M Welegedara,132,2.1206
E Chigumbura,121,2.0828
P D Collingwood,115,2.0607
Yuvraj Singh,108,2.0334
Shoaib Malik,108,2.0334
R R Sarwan,106,2.0253
M J Clarke,103,2.0128
A J Redmond,90,1.9542
Aftab Ahmed,89,1.9494
C B Mpofu,88,1.9445
T T Samaraweera,87,1.9395
J D Ryder,77,1.8865
 Abdur Razzak,77,1.8865
T T Bresnan,68,1.8325
J Botha,62,1.7924
L S Baker,58,1.7634
G C Smith,58,1.7634
P Chawla,49,1.6902
M N Samuels,43,1.6335
S Chanderpaul,39,1.5911
K M D Kulasekara,38,1.5798
D P M Jayawardene,38,1.5798
Sajidul Islam,34,1.5315
Mohammad Hafeez,33,1.5185
J P Duminy,33,1.5185
K P Pietersen,31,1.4914
