Name,Rating,LogRating
S P Narine,774,2.8887
Saeed Ajmal,729,2.8627
S T Finn,718,2.8561
J M Anderson,714,2.8537
R A Jadeja,711,2.8519
Mohammad Hafeez,690,2.8388
C J McKay,684,2.8351
L L Tsotsobe,673,2.8280
R Ashwin,664,2.8222
Abdur Razzak,663,2.8215
K D Mills,656,2.8169
D W Steyn,652,2.8142
K M D Kulasekara,648,2.8116
M Morkel,643,2.8082
S L Malinga,636,2.8035
D L Vettori,632,2.8007
M G Johnson,632,2.8007
K A J Roach,622,2.7938
D T Johnston,611,2.7860
Shakib Al Hasan,608,2.7839
T G Southee,595,2.7745
A D Mathews,590,2.7709
H M R Herath,586,2.7679
X J Doherty,582,2.7649
R Rampaul,573,2.7582
S R Watson,558,2.7466
J C Tredwell,558,2.7466
D J G Sammy,555,2.7443
S C J Broad,555,2.7443
T T Bresnan,545,2.7364
G H Dockrell,539,2.7316
Shahid Afridi,536,2.7292
R McLaren,534,2.7275
M A Starc,533,2.7267
N L McCullum,530,2.7243
Mashrafe Mortaza,530,2.7243
M J McClenaghan,525,2.7202
R J Peterson,516,2.7126
P Utseya,512,2.7093
Harbhajan Singh,511,2.7084
Junaid Khan,508,2.7059
N L T Perera,506,2.7042
Umar Gul,506,2.7042
W B Rankin,501,2.6998
B Kumar,501,2.6998
I Sharma,496,2.6955
H A Varaiya,490,2.6902
T M Odoyo,489,2.6893
Mudassar Bukhari,481,2.6821
Shafiul Islam,478,2.6794
D J J Bravo,476,2.6776
W D Parnell,474,2.6758
P W Borren,470,2.6721
A D Russell,465,2.6675
P M Seelaar,460,2.6628
Mahmudullah,456,2.6590
B A W Mendis,455,2.6580
A R Cusack,451,2.6542
M N Samuels,448,2.6513
Rubel Hossain,447,2.6503
H S Baidwan,445,2.6484
R M Haq,443,2.6464
J H Kallis,442,2.6454
Mohammad Irfan,441,2.6444
R Vinay Kumar,441,2.6444
Abdur Rehman,437,2.6405
K J O'Brien,436,2.6395
Sohail Tanvir,434,2.6375
R S Bopara,428,2.6314
Naeem Islam,420,2.6232
T M Dilshan,417,2.6201
A G Cremer,415,2.6180
T Mupariwa,414,2.6170
C B Mpofu,412,2.6149
S J Benn,410,2.6128
T L Best,406,2.6085
J E Taylor,405,2.6075
Khurram Chohan,403,2.6053
E Chigumbura,400,2.6021
S Randiv,398,2.5999
Mohammad Nabi,394,2.5955
Wahab Riaz,386,2.5866
J P Duminy,386,2.5866
J F Mooney,384,2.5843
Shoaib Malik,384,2.5843
Yuvraj Singh,384,2.5843
U T Yadav,381,2.5809
N N Odhiambo,381,2.5809
P R Stirling,379,2.5786
S O Tikolo,378,2.5775
Samiullah Shenwari,377,2.5763
R K Kleinveldt,375,2.5740
A Mishra,373,2.5717
Sohag Gazi,368,2.5658
J L Pattinson,364,2.5611
Mohammad Amir,351,2.5453
B V Vitori,351,2.5453
B M A J Mendis,345,2.5378
D T Christian,343,2.5353
Shapoor Zadran,333,2.5224
