Name,Rating,LogRating
M S Dhoni,807,2.9069
A B de Villiers,803,2.9047
M E K Hussey,767,2.8848
H M Amla,739,2.8686
C H Gayle,736,2.8669
S R Tendulkar,731,2.8639
T M Dilshan,728,2.8621
J H Kallis,720,2.8573
R T Ponting,720,2.8573
S Chanderpaul,708,2.8500
G C Smith,691,2.8395
E J G Morgan,690,2.8388
K C Sangakkara,688,2.8376
P D Collingwood,675,2.8293
S R Watson,663,2.8215
M J Clarke,660,2.8195
Yuvraj Singh,656,2.8169
V Sehwag,654,2.8156
L R Taylor,649,2.8122
G Gambhir,648,2.8116
V Kohli,647,2.8109
B B McCullum,646,2.8102
Mohammad Yousuf,644,2.8089
S K Raina,638,2.8048
Tamim Iqbal,623,2.7945
C L White,621,2.7931
R N ten Doeschate,621,2.7931
Shoaib Malik,607,2.7832
R R Sarwan,604,2.7810
D P M Jayawardene,604,2.7810
Shahid Afridi,600,2.7782
K P Pietersen,599,2.7774
Shakib Al Hasan,584,2.7664
J P Duminy,583,2.7657
S B Styris,582,2.7649
S T Jayasuriya,575,2.7597
A J Strauss,573,2.7582
M J Guptill,567,2.7536
B R M Taylor,566,2.7528
Umar Akmal,563,2.7505
Younis Khan,562,2.7497
W U Tharanga,559,2.7474
Misbah ul Haq,554,2.7435
B J Haddin,548,2.7388
R G Sharma,547,2.7380
I R Bell,545,2.7364
H Masakadza,540,2.7324
Kamran Akmal,535,2.7284
M V Boucher,527,2.7218
J D P Oram,518,2.7143
K K K K K K D Karthik,504,2.7024
E Chigumbura,503,2.7016
A A Obanda,502,2.7007
Raqibul Hasan,501,2.6998
S H T Kandamby,500,2.6990
T Taibu,498,2.6972
J R Hopes,497,2.6964
W T S Porterfield,494,2.6937
A Bagai,492,2.6920
G D Elliott,491,2.6911
S E Marsh,490,2.6902
T T Samaraweera,485,2.6857
J D Ryder,483,2.6839
Mushfiqur Rahim,482,2.6830
Mohammad Ashraful,482,2.6830
J M How,481,2.6821
N J O'Brien,475,2.6767
K J O'Brien,474,2.6758
C J Ferguson,473,2.6749
S C Williams,471,2.6730
Rizwan Cheema,471,2.6730
R S Bopara,470,2.6721
G M Hamilton,470,2.6721
A D Mathews,466,2.6684
Mahmudullah,465,2.6675
D J J Bravo,463,2.6656
L P C Silva,462,2.6646
S Matsikenyeri,461,2.6637
D L Vettori,459,2.6618
R Dravid,458,2.6609
A N Cook,458,2.6609
C K Kapugedera,458,2.6609
S O Tikolo,456,2.6590
S Dhaniram,455,2.6580
M J Prior,447,2.6503
K A Pollard,447,2.6503
C K Coventry,447,2.6503
R A Jadeja,445,2.6484
Abdul Razzaq,440,2.6435
N Deonarine,438,2.6415
D J G Sammy,437,2.6405
Imrul Kayes,437,2.6405
Naeem Islam,436,2.6395
T D Paine,432,2.6355
C O Obuya,428,2.6314
T M Odoyo,420,2.6232
L J Wright,409,2.6117
M N Samuels,407,2.6096
D O Obuya,404,2.6064
B Zuiderent,401,2.6031
