Name,Rating,LogRating
V Sehwag,864,2.9365
D P M Jayawardene,836,2.9222
K C Sangakkara,835,2.9217
M J Clarke,834,2.9212
G Gambhir,825,2.9165
S Chanderpaul,807,2.9069
S R Tendulkar,806,2.9063
J H Kallis,791,2.8982
G C Smith,787,2.8960
L R Taylor,766,2.8842
A B de Villiers,762,2.8820
Mohammad Yousuf,761,2.8814
S M Katich,760,2.8808
Younis Khan,754,2.8774
V V S Laxman,748,2.8739
R T Ponting,745,2.8722
H M Amla,745,2.8722
R Dravid,713,2.8531
T T Samaraweera,707,2.8494
Tamim Iqbal,707,2.8494
M E K Hussey,687,2.8370
A J Strauss,682,2.8338
K P Pietersen,678,2.8312
T M Dilshan,675,2.8293
C H Gayle,670,2.8261
I R Bell,669,2.8254
M S Dhoni,662,2.8209
A N Cook,659,2.8189
P D Collingwood,656,2.8169
D L Vettori,646,2.8102
R R Sarwan,640,2.8062
A G Prince,633,2.8014
Umar Akmal,609,2.7846
B B McCullum,604,2.7810
S R Watson,590,2.7709
B J Haddin,576,2.7604
Kamran Akmal,563,2.7505
M J Prior,553,2.7427
M V Boucher,550,2.7404
P J Hughes,550,2.7404
M J North,548,2.7388
Salman Butt,547,2.7380
J D Ryder,530,2.7243
Imran Farhat,527,2.7218
I J L Trott,527,2.7218
D J J Bravo,522,2.7177
Shakib Al Hasan,522,2.7177
T Taibu,516,2.7126
Mushfiqur Rahim,505,2.7033
Shoaib Malik,499,2.6981
B P Nash,496,2.6955
Misbah ul Haq,483,2.6839
Junaid Siddique,470,2.6721
Yuvraj Singh,465,2.6675
M J Guptill,454,2.6571
H A P W Jayawardena,441,2.6444
Mahmudullah,439,2.6425
Shahid Afridi,417,2.6201
H Masakadza,413,2.6160
Shahriar Nafees,400,2.6021
G P Swann,389,2.5899
N Deonarine,387,2.5877
T G McIntosh,383,2.5832
Yasir Hameed,380,2.5798
N T Paranavitana,379,2.5786
Taufeeq Umar,378,2.5775
S C J Broad,376,2.5752
D Ramdin,371,2.5694
A D Mathews,364,2.5611
M N Samuels,358,2.5539
M G Johnson,356,2.5514
D S Smith,355,2.5502
D R Flynn,352,2.5465
Mohammad Ashraful,350,2.5441
R S Bopara,338,2.5289
J P Duminy,334,2.5237
A Barath,325,2.5119
Khurram Manzoor,323,2.5092
W U Tharanga,317,2.5011
J A Rudolph,316,2.4997
Mohammad Hafeez,314,2.4969
B R M Taylor,306,2.4857
N M Hauritz,302,2.4800
M A Vermeulen,300,2.4771
M J Vijay,299,2.4757
A N Petersen,285,2.4548
Harbhajan Singh,277,2.4425
Imrul Kayes,273,2.4362
J E C Franklin,270,2.4314
B J Watling,261,2.4166
D J G Sammy,255,2.4065
R McLaren,253,2.4031
A J Redmond,253,2.4031
T T Bresnan,242,2.3838
 Raqibul Hasan,235,2.3711
S J Benn,232,2.3655
J E Taylor,231,2.3636
Naeem Islam,229,2.3598
T Panyangara,226,2.3541
E J G Morgan,220,2.3424
