Name,Rating,LogRating
D W Steyn,886,2.9474
Saeed Ajmal,836,2.9222
J M Anderson,785,2.8949
H M R Herath,781,2.8927
V D Philander,764,2.8831
S C J Broad,758,2.8797
B W Hilfenhaus,756,2.8785
G P Swann,742,2.8704
P M Siddle,740,2.8692
M Morkel,733,2.8651
Zaheer Khan,697,2.8432
Shakib Al Hasan,678,2.8312
Abdur Rehman,677,2.8306
T T Bresnan,657,2.8176
C S Martin,651,2.8136
K A J Roach,620,2.7924
Umar Gul,613,2.7875
D L Vettori,611,2.786
R J Harris,587,2.7686
P P Ojha,572,2.7574
S R Watson,571,2.7566
M G Johnson,565,2.752
Harbhajan Singh,560,2.7482
S T Finn,553,2.7427
D J G Sammy,550,2.7404
C T Tremlett,546,2.7372
I Sharma,515,2.7118
D A J Bracewell,514,2.711
F H Edwards,502,2.7007
J E Taylor,479,2.6803
J L Pattinson,478,2.6794
J H Kallis,470,2.6721
B A W Mendis,469,2.6712
M S Panesar,456,2.659
U W M Welegedara,454,2.6571
N M Lyon,451,2.6542
S J Benn,413,2.616
R Rampaul,391,2.5922
C R D Fernando,387,2.5877
S Randiv,377,2.5763
J E C Franklin,374,2.5729
K M D Kulasekara,367,2.5647
D Bishoo,350,2.5441
Tanvir Ahmed,348,2.5416
Aizaz Cheema,345,2.5378
R Ashwin,345,2.5378
Shahadat Hossain,336,2.5263
Mohammad Hafeez,332,2.5211
U T Yadav,329,2.5172
T G Southee,317,2.5011
Elias Sunny,316,2.4997
N Deonarine,313,2.4955
S Shillingford,304,2.4829
A Mishra,300,2.4771
J S Patel,287,2.4579
Junaid Khan,287,2.4579
Enamul Haque jnr,279,2.4456
C H Gayle,277,2.4425
T M Dilshan,261,2.4166
Mohammad Sami,257,2.4099
Imran Tahir,253,2.4031
Mahmudullah,249,2.3962
Wahab Riaz,246,2.3909
K M Jarvis,238,2.3766
R W Price,228,2.3579
S K Raina,225,2.3522
M A Starc,220,2.3424
V Sehwag,192,2.2833
R A S Lakmal,182,2.2601
J P Duminy,178,2.2504
K T G Prasad,178,2.2504
M J Clarke,173,2.238
R M S Eranga,166,2.2201
T A Boult,165,2.2175
T Panyangara,160,2.2041
M N Samuels,156,2.1931
Abdur Razzak,154,2.1875
J C Tredwell,152,2.1818
S T Gabriel,144,2.1584
L E Plunkett,142,2.1523
S R Tendulkar,135,2.1303
Mohammad Ashraful,128,2.1072
Rubel Hossain,125,2.0969
R J Peterson,119,2.0755
M E K Hussey,118,2.0719
Shoaib Malik,116,2.0645
Shafiul Islam,101,2.0043
H Masakadza,91,1.959
W D Parnell,87,1.9395
T T Samaraweera,84,1.9243
Yuvraj Singh,83,1.9191
N L T Perera,81,1.9085
B V Vitori,77,1.8865
K S Williamson,74,1.8692
A J Redmond,74,1.8692
D A Warner,74,1.8692
A D Mathews,71,1.8513
E Chigumbura,65,1.8129
Younis Khan,58,1.7634
M J Guptill,58,1.7634
