Name,Rating
C H Gayle,746
K P Pietersen,737
T M Dilshan,735
B B McCullum,715
Yuvraj Singh,683
S T Jayasuriya,651
G Gambhir,639
Misbah ul Haq,620
G C Smith,587
Shoaib Malik,575
J H Kallis,541
H Masakadza,538
J P Duminy,502
Younis Khan,485
P D Collingwood,472
O A Shah,446
D J Hussey,435
K J Coetzer,433
Shahid Afridi,426
B R M Taylor,420
J D P Oram,415
A B de Villiers,404
J A Morkel,402
H H Gibbs,401
K C Sangakkara,400
L M P Simmons,397
D P M Jayawardene,396
L R Taylor,395
Rizwan Cheema,385
Kamran Akmal,379
D A Warner,376
S B Styris,354
Aftab Ahmed,352
R G Sharma,346
M S Dhoni,343
D J J Bravo,338
R R Sarwan,327
Salman Butt,319
R S Bopara,311
V Sehwag,306
J D Ryder,303
M J Guptill,302
Junaid Siddique,302
Imran Nazir,301
Mohammad Ashraful,297
L J Wright,296
M E K Hussey,289
D S Smith,288
C L White,281
J Mubarak,273
Y K Pathan,258
I R Bell,257
T N de Grooth,256
A J Redmond,253
L E Bosman,247
M V Boucher,244
R V Uthappa,237
R R Watson,236
M N Samuels,235
R N ten Doeschate,233
M J Prior,226
Mohammad Hafeez,225
S K Raina,219
P W Borren,218
S Chanderpaul,217
C K Kapugedera,206
M J Clarke,203
K J O'Brien,201
A D Mathews,198
S R Watson,196
T Taibu,187
Tamim Iqbal,185
N J O'Brien,183
W T S Porterfield,183
E S Szwarczynski,180
V Sibanda,179
M L Udawatte,178
I K Pathan,177
Mashrafe Mortaza,174
N S Poonia,171
J F Mooney,171
L P C Silva,170
A D S Fletcher,168
B J Haddin,165
D Ramdin,165
G E F Barnett,163
A M Samad,159
K A Pollard,159
Naeem Islam,154
E Chigumbura,153
B J Hodge,152
A C Botha,151
C J Chibhabha,151
Shahzaib Hasan ,150
S O Tikolo,149
K D Mills,147
W U Tharanga,146
R A Jadeja,139
Shakib Al Hasan,136
B Lee,134
