Name,Rating
G C Smith,617
R T Ponting,515
A Symonds,463
M N Samuels,432
S T Jayasuriya,429
P D Collingwood,413
S B Styris,408
B B McCullum,343
D S Smith,334
O A Shah,330
S Chanderpaul,289
C H Gayle,283
L E Bosman,278
K P Pietersen,248
H H Gibbs,237
Mohammad Hafeez,233
A C Gilchrist,219
B Lee,209
L Vincent,203
Mashrafe Mortaza,194
S L Malinga,192
M E K Hussey,189
A J Strauss,188
M J Prior,184
C L White,180
J A Morkel,173
G B Hogg,162
J H Kallis,159
M V Boucher,156
M L Hayden,154
D Ramdin,150
M H Yardy,143
V Sehwag,126
J J van der Wath,124
M J Clarke,122
J E C Franklin,121
J D P Oram,117
C K Kapugedera,108
I R Bell,108
Aftab Ahmed,106
J M Kemp,103
H Masakadza,102
Naved ul Hasan,102
C R D Fernando,93
Kamran Akmal,93
P G Fulton,91
S M Pollock,90
V S Solanki,89
S C Williams,84
K K D Karthik,81
A D Mascarenhas,78
Shoaib Malik,74
C D McMillan,72
Abdul Razzaq,72
K C Sangakkara,69
Shakib Al Hasan,66
R S Morton,63
Shahid Afridi,60
W U Tharanga,59
L R Taylor,52
D R Tuffey,50
D J J Bravo,50
J R Hopes,48
W W Hinds,45
D R Smith,44
A N Cook,44
S Matsikenyeri,44
Mohammad Yousuf,42
D P M Jayawardene,41
S E Bond,36
Farhad Reza,33
A Flintoff,32
A B de Villiers,32
Nadif Chowdhury,32
D J G Sammy,31
P Utseya,25
M Ntini,24
M F Maharoof,20
C K Langeveldt,19
M R Gillespie,19
L P C Silva,18
S K Raina,17
N W Bracken,17
T T Bresnan,17
I J L Trott,17
Shahadat Hossain,16
A Nel,16
L M P Simmons,15
J M Anderson,14
S C J Broad,14
M S Sinclair,14
R J Peterson,14
K D Mills,14
A C L Richards,13
Abdur Rehman,13
P D McGlashan,13
S I Mahmood,11
B R M Taylor,11
R Rampaul,10
Imran Nazir,10
