Name,Rating,LogRating
H M Amla,871,2.94
A B de Villiers,851,2.9299
V Kohli,846,2.9274
K C Sangakkara,757,2.8791
M S Dhoni,752,2.8762
A N Cook,741,2.8698
I J L Trott,739,2.8686
M J Clarke,709,2.8506
S R Watson,700,2.8451
T M Dilshan,695,2.842
Shakib Al Hasan,683,2.8344
J H Kallis,681,2.8331
M E K Hussey,678,2.8312
Umar Akmal,677,2.8306
M J Guptill,668,2.8248
B R M Taylor,667,2.8241
G Gambhir,666,2.8235
E J G Morgan,654,2.8156
B B McCullum,653,2.8149
D P M Jayawardene,653,2.8149
J P Duminy,648,2.8116
P R Stirling,648,2.8116
L R Taylor,647,2.8109
L D Chandimal,640,2.8062
G C Smith,639,2.8055
V Sehwag,633,2.8014
Misbah ul Haq,619,2.7917
Tamim Iqbal,618,2.791
K P Pietersen,609,2.7846
C H Gayle,604,2.781
S K Raina,599,2.7774
K A Pollard,592,2.7723
L M P Simmons,583,2.7657
D A Warner,579,2.7627
A D Mathews,576,2.7604
D J Hussey,575,2.7597
Yuvraj Singh,569,2.7551
I R Bell,563,2.7505
W U Tharanga,556,2.7451
Shahid Afridi,554,2.7435
R G Sharma,552,2.7419
K J O'Brien,552,2.7419
R R Sarwan,548,2.7388
J D Ryder,548,2.7388
Mohammad Hafeez,547,2.738
T L W Cooper,538,2.7308
A Bagai,533,2.7267
R S Bopara,528,2.7226
C Kieswetter,526,2.721
Younis Khan,525,2.7202
Nasir Hossain,511,2.7084
C L White,505,2.7033
A A Obanda,502,2.7007
Mushfiqur Rahim,500,2.699
C O Obuya,500,2.699
D M Bravo,497,2.6964
S E Marsh,495,2.6946
Imrul Kayes,493,2.6928
G C Wilson,491,2.6911
A D Russell,483,2.6839
Asad Shafiq,480,2.6812
B J Haddin,480,2.6812
W T S Porterfield,479,2.6803
F du Plessis,478,2.6794
H Masakadza,477,2.6785
E Chigumbura,476,2.6776
D J G Sammy,475,2.6767
T Mishra,475,2.6767
R A Jadeja,474,2.6758
J D P Oram,474,2.6758
Mahmudullah,474,2.6758
D J J Bravo,470,2.6721
Kamran Akmal,466,2.6684
K S Williamson,465,2.6675
Azhar Ali,464,2.6665
N J O'Brien,458,2.6609
Shoaib Malik,452,2.6551
M N Samuels,447,2.6503
Imran Farhat,443,2.6464
R J Nicol,441,2.6444
V Sibanda,439,2.6425
Rizwan Cheema,432,2.6355
S C Williams,426,2.6294
J F Mooney,420,2.6232
D L Vettori,418,2.6212
G J Bailey,418,2.6212
H D R Thirimanne,416,2.6191
S O Tikolo,416,2.6191
G D Elliott,415,2.618
C R Ervine,415,2.618
D S Smith,399,2.601
T M Odoyo,399,2.601
T T Bresnan,399,2.601
L J Wright,396,2.5977
A R Cusack,396,2.5977
Naeem Islam,395,2.5966
Mohammad Shahzad,393,2.5944
E S Szwarczynski,390,2.5911
Mohammad Nabi,388,2.5888
W Barresi,386,2.5866
