Name,Rating,LogRating
D W Steyn,899,2.9538
G P Swann,797,2.9015
J M Anderson,781,2.8927
M Morkel,751,2.8756
Zaheer Khan,741,2.8698
M G Johnson,727,2.8615
Harbhajan Singh,659,2.8189
Shakib Al Hasan,648,2.8116
D L Vettori,623,2.7945
C T Tremlett,611,2.7860
I Sharma,606,2.7825
P M Siddle,596,2.7752
C S Martin,589,2.7701
S C J Broad,579,2.7627
S T Finn,569,2.7551
Umar Gul,550,2.7404
J E Taylor,546,2.7372
R W Price,538,2.7308
H M R Herath,533,2.7267
B A W Mendis,529,2.7235
B W Hilfenhaus,521,2.7168
S Sreesanth,518,2.7143
J H Kallis,511,2.7084
F H Edwards,507,2.7050
Saeed Ajmal,495,2.6946
D J G Sammy,485,2.6857
S J Benn,471,2.6730
K A J Roach,455,2.6580
Abdur Rehman,454,2.6571
M S Panesar,441,2.6444
S R Watson,435,2.6385
P P Ojha,430,2.6335
C R D Fernando,426,2.6294
R J Harris,414,2.6170
T T Bresnan,410,2.6128
Shahadat Hossain,403,2.6053
J E C Franklin,401,2.6031
Tanvir Ahmed,385,2.5855
A Mishra,356,2.5514
T G Southee,338,2.5289
J S Patel,333,2.5224
G Onions,324,2.5105
C H Gayle,315,2.4983
K M D Kulasekara,312,2.4942
D Bishoo,310,2.4914
R P Singh,304,2.4829
Enamul Haque jnr,294,2.4683
Mohammad Sami,284,2.4533
S Randiv,278,2.4440
Mahmudullah,276,2.4409
Wahab Riaz,272,2.4346
V Sehwag,248,2.3945
R Rampaul,248,2.3945
M M Patel,244,2.3874
U W M Welegedara,236,2.3729
P Kumar,231,2.3636
J P Duminy,228,2.3579
Mohammad Hafeez,220,2.3424
S K Raina,214,2.3304
R A S Lakmal,213,2.3284
T M Dilshan,213,2.3284
S Shillingford,201,2.3032
M R Gillespie,180,2.2553
J C Tredwell,172,2.2355
A G Cremer,171,2.2330
B J Arnel,169,2.2279
T Panyangara,167,2.2227
L E Plunkett,161,2.2068
K T G Prasad,155,2.1903
Abdur Razzak,155,2.1903
S R Tendulkar,143,2.1553
Mohammad Ashraful,137,2.1367
R J Peterson,129,2.1106
Shoaib Malik,128,2.1072
E Chigumbura,121,2.0828
Rubel Hossain,116,2.0645
M J Clarke,102,2.0086
A Mithun,98,1.9912
R R Sarwan,95,1.9777
Shafiul Islam,94,1.9731
W D Parnell,94,1.9731
C B Mpofu,88,1.9445
T T Samaraweera,83,1.9191
A J Redmond,79,1.8976
Yuvraj Singh,78,1.8921
Younis Khan,71,1.8513
A D Mathews,70,1.8451
J D Ryder,57,1.7559
G C Smith,56,1.7482
D P M Jayawardene,46,1.6628
P Chawla,40,1.6021
N Deonarine,39,1.5911
K P Pietersen,38,1.5798
M N Samuels,38,1.5798
Raqibul Hasan,37,1.5682
S Chanderpaul,36,1.5563
L R Taylor,32,1.5051
Sajidul Islam,31,1.4914
X J Doherty,31,1.4914
M J Guptill,26,1.4150
