Name,Rating
K P Pietersen,833
E J G Morgan,774
M J Guptill,760
B B McCullum,746
C H Gayle,744
S K Raina,734
D P M Jayawardene,733
T M Dilshan,714
S R Watson,706
K C Sangakkara,700
D A Warner,681
J P Duminy,674
J H Kallis,671
G Gambhir,660
H Masakadza,649
Umar Akmal,628
D J Hussey,619
Yuvraj Singh,609
C L White,606
R E Levi,522
A B de Villiers,512
Shahid Afridi,511
C Kieswetter,501
B R M Taylor,487
M E K Hussey,487
A D Hales,482
Mohammad Hafeez,480
M S Dhoni,467
D J J Bravo,459
L R Taylor,452
C J Chibhabha,451
K J Coetzer,451
Kamran Akmal,434
Shoaib Malik,425
R G Sharma,423
A J Finch,405
P R Stirling,402
J A Morkel,402
Mohammad Shahzad,401
E Chigumbura,397
D R Smith,392
J D Ryder,388
L M P Simmons,378
W T S Porterfield,373
K A Pollard,358
Mohammad Ashraful,358
J Charles,354
R S Bopara,343
V Sehwag,342
M S Wade,336
A D Mathews,334
Noor Ali Zadran,310
S O Tikolo,305
Rizwan Cheema,301
R J Nicol,299
M N Samuels,297
J D P Oram,290
J E C Franklin,290
Abdul Razzaq,285
T L W Cooper,285
E C Joyce,282
A Bagai,279
K S Williamson,278
I R Bell,273
E S Szwarczynski,272
C K Kapugedera,266
L J Wright,265
B J Haddin,264
Ahmed Shehzad,257
C O Obuya,256
M N van Wyk,252
J M Bairstow,252
T Mishra,250
D M Bravo,247
Junaid Siddique,241
Imran Nazir,240
Karim Sadiq,238
L D Chandimal,237
D A Miller,235
C S MacLeod,233
N J O'Brien,232
Shakib Al Hasan,229
V Kohli,224
G C Wilson,222
Nasir Hossain,221
M J Lumb,218
T N de Grooth,206
Tamim Iqbal,202
N L T Perera,196
Samiullah Shenwari,195
R D Berrington,194
N R Kumar,190
J Botha,183
K J O'Brien,182
C K Coventry,179
A R Cusack,179
Naeem Islam,176
R V Uthappa,175
A A Obanda,173
J L Ontong,170
