Name,Rating,LogRating
M S Dhoni,815,2.9112
Yuvraj Singh,786,2.8954
C H Gayle,772,2.8876
S Chanderpaul,762,2.882
M E K Hussey,759,2.8802
A B de Villiers,734,2.8657
V Sehwag,730,2.8633
G C Smith,716,2.8549
H H Gibbs,702,2.8463
J H Kallis,702,2.8463
M J Clarke,696,2.8426
S R Tendulkar,691,2.8395
K C Sangakkara,691,2.8395
K P Pietersen,689,2.8382
Mohammad Yousuf,682,2.8338
R T Ponting,676,2.8299
S T Jayasuriya,658,2.8182
L R Taylor,657,2.8176
Shoaib Malik,655,2.8162
G Gambhir,651,2.8136
R R Sarwan,648,2.8116
Salman Butt,647,2.8109
P D Collingwood,617,2.7903
I R Bell,612,2.7868
Younis Khan,611,2.786
J P Duminy,609,2.7846
B B McCullum,608,2.7839
T M Dilshan,605,2.7818
B J Haddin,593,2.7731
Misbah ul Haq,593,2.7731
S B Styris,590,2.7709
O A Shah,586,2.7679
S K Raina,581,2.7642
D P M Jayawardene,579,2.7627
Shakib Al Hasan,576,2.7604
M V Boucher,561,2.749
Tamim Iqbal,540,2.7324
L P C Silva,538,2.7308
R N ten Doeschate,536,2.7292
H M Amla,534,2.7275
J D P Oram,534,2.7275
M J Guptill,529,2.7235
J M How,526,2.721
S R Watson,524,2.7193
J D Ryder,522,2.7177
 Kamran Akmal,521,2.7168
A J Strauss,514,2.711
R Dravid,514,2.711
J R Hopes,514,2.711
R S Morton,507,2.705
Shahid Afridi,501,2.6998
Mohammad Ashraful,498,2.6972
S C Williams,496,2.6955
E Chigumbura,496,2.6955
R S Bopara,494,2.6937
S O Tikolo,493,2.6928
H Masakadza,490,2.6902
S E Marsh,484,2.6848
K J O'Brien,482,2.683
G D Elliott,481,2.6821
B R M Taylor,480,2.6812
C J Ferguson,480,2.6812
W U Tharanga,479,2.6803
D J J Bravo,473,2.6749
N J O'Brien,464,2.6665
T Taibu,463,2.6656
M N Samuels,461,2.6637
S Matsikenyeri,460,2.6628
R G Sharma,458,2.6609
C K Kapugedera,456,2.659
Abdul Razzaq,455,2.658
Raqibul Hasan,452,2.6551
Aftab Ahmed,440,2.6435
R V Uthappa,440,2.6435
A A Obanda,439,2.6425
M J Prior,438,2.6415
Shahriar Nafees,437,2.6405
A N Cook,435,2.6385
W T S Porterfield,433,2.6365
T M Odoyo,428,2.6314
A M Samad,427,2.6304
A Bagai,423,2.6263
V Sibanda,422,2.6253
T Mishra,419,2.6222
J M Davison,418,2.6212
C J Chibhabha,418,2.6212
E J G Morgan,413,2.616
S H T Kandamby,409,2.6117
D J Hussey,409,2.6117
J Mubarak,403,2.6053
S Dhaniram,403,2.6053
C O Obuya,397,2.5988
M T Thushara,394,2.5955
M F Maharoof,392,2.5933
D Ramdin,388,2.5888
Rizwan Cheema,388,2.5888
Y K Pathan,383,2.5832
Nasir Jamshed,382,2.5821
R R Watson,379,2.5786
I K Pathan,378,2.5775
