Name,Rating,LogRating
A B de Villiers,887,2.9479
V Kohli,813,2.9101
H M Amla,778,2.8910
K S Williamson,752,2.8762
M J Guptill,751,2.8756
R G Sharma,750,2.8751
S Dhawan,737,2.8675
T M Dilshan,737,2.8675
Q de Kock,735,2.8663
J E Root,726,2.8609
F du Plessis,716,2.8549
D A Warner,712,2.8525
M S Dhoni,706,2.8488
L R Taylor,702,2.8463
S P D Smith,694,2.8414
A J Finch,679,2.8319
J C Buttler,679,2.8319
A D Mathews,669,2.8254
Mushfiqur Rahim,661,2.8202
Soumya Sarkar,661,2.8202
G J Bailey,656,2.8169
G J Maxwell,652,2.8142
Mohammad Hafeez,639,2.8055
A D Hales,612,2.7868
Tamim Iqbal,611,2.7860
M N Samuels,609,2.7846
M R Marsh,607,2.7832
A M Rahane,606,2.7825
E J G Morgan,605,2.7818
J P Faulkner,605,2.7818
S K Raina,600,2.7782
Shakib Al Hasan,595,2.7745
S R Watson,576,2.7604
H D R Thirimanne,566,2.7528
Ahmed Shehzad,566,2.7528
P R Stirling,564,2.7513
J P Duminy,563,2.7505
J Charles,561,2.7490
D A Miller,560,2.7482
D M Bravo,556,2.7451
E C Joyce,554,2.7435
Nasir Hossain,551,2.7412
Mohammad Shahzad,550,2.7404
K J O'Brien,543,2.7348
A T Rayudu,541,2.7332
Azhar Ali,541,2.7332
C J Anderson,539,2.7316
J J Roy,534,2.7275
F Behardien,534,2.7275
Mahmudullah,534,2.7275
S C Williams,533,2.7267
M D K J Perera,533,2.7267
G D Elliott,530,2.7243
C H Gayle,527,2.7218
K A Pollard,526,2.7210
L D Chandimal,523,2.7185
A D Russell,523,2.7185
Mohammad Nabi,521,2.7168
L M P Simmons,520,2.7160
E Chigumbura,517,2.7135
Umar Akmal,514,2.7110
Sikandar Raza,513,2.7101
H Masakadza,509,2.7067
Sarfraz Ahmed,509,2.7067
Anamul Haque,505,2.7033
N J O'Brien,499,2.6981
L Ronchi,498,2.6972
Babar Azam,498,2.6972
R R Rossouw,497,2.6964
Samiullah Shenwari,496,2.6955
C R Ervine,493,2.6928
W T S Porterfield,492,2.6920
D J G Sammy,490,2.6902
Shaiman Anwar,486,2.6866
M S Wade,484,2.6848
D Ramdin,482,2.6830
Haris Sohail,482,2.6830
T W M Latham,475,2.6767
K J Coetzer,473,2.6749
Shoaib Malik,473,2.6749
R A Jadeja,472,2.6739
Noor Ali Zadran,460,2.6628
G C Wilson,451,2.6542
S E Marsh,446,2.6493
M W Machan,445,2.6484
C J Chibhabha,444,2.6474
R D Berrington,441,2.6444
Sabbir Rahman,439,2.6425
Moeen Ali,435,2.6385
U T Khawaja,435,2.6385
Sohaib Maqsood,426,2.6294
R S Bopara,422,2.6253
Khurram Khan,414,2.6170
V Sibanda,410,2.6128
Imrul Kayes,409,2.6117
J O Holder,405,2.6075
M J Santner,405,2.6075
W U Tharanga,403,2.6053
B A Stokes,398,2.5999
P L Mommsen,396,2.5977
