Name,Rating,LogRating
R T Ponting,936,2.9713
Mohammad Yousuf,915,2.9614
K P Pietersen,862,2.9355
M E K Hussey,842,2.9253
K C Sangakkara,835,2.9217
M L Hayden,828,2.918
J H Kallis,820,2.9138
R Dravid,801,2.9036
Younis Khan,789,2.8971
S Chanderpaul,762,2.882
A G Prince,755,2.8779
Inzamam-ul-Haq,735,2.8663
D P M Jayawardene,720,2.8573
P D Collingwood,712,2.8525
S P Fleming,674,2.8287
G C Smith,672,2.8274
S R Tendulkar,672,2.8274
A C Gilchrist,662,2.8209
M J Clarke,657,2.8176
A N Cook,653,2.8149
I R Bell,648,2.8116
A J Strauss,628,2.798
V Sehwag,599,2.7774
V V S Laxman,589,2.7701
H H Gibbs,581,2.7642
D J J Bravo,579,2.7627
T M Dilshan,575,2.7597
C H Gayle,574,2.7589
A Flintoff,564,2.7513
J D P Oram,561,2.749
D L Vettori,550,2.7404
R R Sarwan,544,2.7356
S C Ganguly,541,2.7332
M P Vaughan,530,2.7243
Imran Farhat,529,2.7235
M V Boucher,522,2.7177
Kamran Akmal,521,2.7168
Habibul Bashar,519,2.7152
T Taibu,516,2.7126
L Vincent,515,2.7118
S B Styris,509,2.7067
A B de Villiers,508,2.7059
M S Atapattu,503,2.7016
S T Jayasuriya,498,2.6972
Wasim Jaffer,495,2.6946
T T Samaraweera,495,2.6946
B B McCullum,491,2.6911
Shahid Afridi,490,2.6902
S M Pollock,488,2.6884
Rajin Saleh,475,2.6767
A Symonds,473,2.6749
L P C Silva,472,2.6739
Shoaib Malik,460,2.6628
B J Hodge,454,2.6571
M S Dhoni,446,2.6493
Taufeeq Umar,444,2.6474
J A Rudolph,441,2.6444
M S Sinclair,437,2.6405
Yasir Hameed,431,2.6345
S M Katich,430,2.6335
Shahriar Nafees,428,2.6314
Mohammad Ashraful,425,2.6284
Yuvraj Singh,423,2.6263
W U Tharanga,423,2.6263
H Masakadza,413,2.616
Salman Butt,409,2.6117
D Ganga,406,2.6085
C D Cumming,406,2.6085
W P U Vaas,402,2.6042
M J Prior,396,2.5977
I K Pathan,395,2.5966
D Ramdin,386,2.5866
H M Amla,383,2.5832
Mohammad Hafeez,373,2.5717
Javed Omar,372,2.5705
M G Vandort,371,2.5694
K K K K K K D Karthik,356,2.5514
G Gambhir,347,2.5403
N D McKenzie,345,2.5378
D S Smith,339,2.5302
Mohammad Rafiq,318,2.5024
Faisal Iqbal,317,2.5011
J E C Franklin,314,2.4969
B Lee,313,2.4955
M N Samuels,309,2.49
B R M Taylor,306,2.4857
M A Vermeulen,300,2.4771
P A Patel,300,2.4771
R S Morton,297,2.4728
C K Kapugedera,294,2.4683
Aftab Ahmed,294,2.4683
H A P W Jayawardena,291,2.4639
Khaled Masud,289,2.4609
M F Maharoof,259,2.4133
A Kumble,256,2.4082
M Morkel,245,2.3892
Harbhajan Singh,242,2.3838
O A Shah,242,2.3838
T Panyangara,226,2.3541
R N Lewis,222,2.3464
