Name,Rating
Misbah ul Haq,657
G Gambhir,612
A Symonds,604
G C Smith,566
K P Pietersen,566
R T Ponting,532
C H Gayle,503
Shoaib Malik,496
P D Collingwood,490
S T Jayasuriya,488
J D P Oram,480
Yuvraj Singh,466
B R M Taylor,455
O A Shah,412
B B McCullum,395
Imran Nazir,384
Aftab Ahmed,374
J A Morkel,361
Younis Khan,356
D S Smith,345
S B Styris,324
H H Gibbs,321
D P M Jayawardene,320
M S Dhoni,309
V Sehwag,295
I R Bell,290
Mohammad Hafeez,287
L R Taylor,285
R G Sharma,285
J Mubarak,285
M N Samuels,282
R V Uthappa,279
Shahid Afridi,276
Mohammad Ashraful,274
H Masakadza,258
S Chanderpaul,258
M J Prior,255
L E Bosman,237
M E K Hussey,235
M J Clarke,235
K C Sangakkara,221
M V Boucher,221
A B de Villiers,219
K D Mills,209
L J Wright,205
V Sibanda,194
J P Duminy,191
W U Tharanga,186
B J Hodge,178
Shakib Al Hasan,162
A J Strauss,160
Junaid Siddique,160
Yasir Arafat,150
D Ramdin,149
D J J Bravo,147
A D Mascarenhas,145
C L White,144
L P C Silva,143
J Botha,138
P G Fulton,137
B Lee,135
T M Dilshan,133
G B Hogg,132
D F Watts,128
S L Malinga,126
D R Flynn,124
Tamim Iqbal,124
D R Smith,123
M H Yardy,122
 Mashrafe Mortaza,118
R S Morton,118
 Kamran Akmal,117
 Salman Butt,114
I K Pathan,110
X M Marshall,109
K K D Karthik,108
J H Kallis,107
C K Kapugedera,98
J E C Franklin,97
C O Obuya,95
 Naved ul Hasan,83
S C Williams,81
T Mishra,79
 Farhad Reza,78
D L Vettori,76
Fawad Alam,75
 Alok Kapali,72
C R D Fernando,66
T M Odoyo,66
P J Ongondo,63
P Utseya,61
 Abdul Razzaq,59
C J Chibhabha,57
S E Marsh,56
D J G Sammy,55
T G Southee,55
J D Ryder,54
S R Watson,53
A A Obanda,52
D O Obuya,52
