Name,Rating,LogRating
A B de Villiers,922,2.9647
K C Sangakkara,896,2.9523
H M Amla,873,2.9410
D A Warner,871,2.9400
S Chanderpaul,854,2.9315
Misbah ul Haq,824,2.9159
C A Pujara,819,2.9133
M J Clarke,818,2.9128
L R Taylor,795,2.9004
V Kohli,784,2.8943
A D Mathews,761,2.8814
Younis Khan,759,2.8802
S P D Smith,737,2.8675
K S Williamson,728,2.8621
D P M Jayawardene,696,2.8426
C J L Rogers,675,2.8293
I R Bell,657,2.8176
B B McCullum,651,2.8136
F du Plessis,636,2.8035
A N Cook,633,2.8014
D M Bravo,633,2.8014
I J L Trott,628,2.7980
Azhar Ali,625,2.7959
Asad Shafiq,612,2.7868
J E Root,610,2.7853
B R M Taylor,606,2.7825
C H Gayle,605,2.7818
M S Dhoni,604,2.7810
Shakib Al Hasan,594,2.7738
S R Watson,586,2.7679
M J Prior,583,2.7657
R G Sharma,578,2.7619
Mominul Haque,573,2.7582
B J Haddin,568,2.7543
A N Petersen,559,2.7474
B J Watling,556,2.7451
Mushfiqur Rahim,551,2.7412
M N Samuels,549,2.7396
L D Chandimal,539,2.7316
Tamim Iqbal,534,2.7275
M J Vijay,530,2.7243
G Gambhir,523,2.7185
J D S Neesham,519,2.7152
J P Duminy,517,2.7135
A M Rahane,513,2.7101
Nasir Hossain,510,2.7076
R Ashwin,501,2.6998
D Ramdin,493,2.6928
J K Silva,485,2.6857
S Dhawan,475,2.6767
Taufeeq Umar,463,2.6656
Mohammad Hafeez,451,2.6542
D L Vettori,442,2.6454
H A P W Jayawardena,439,2.6425
V D Philander,435,2.6385
Khurram Manzoor,433,2.6365
B A Stokes,432,2.6355
K A Edwards,426,2.6294
H Masakadza,411,2.6138
K C Brathwaite,408,2.6107
Ahmed Shehzad,403,2.6053
J M Bairstow,402,2.6042
F D M Karunaratne,393,2.5944
M J Guptill,391,2.5922
T W M Latham,387,2.5877
J Blackwood,386,2.5866
Sikandar Raza,381,2.5809
S C J Broad,381,2.5809
S E Marsh,380,2.5798
J O Holder,350,2.5441
Shoaib Malik,344,2.5366
Mahmudullah,342,2.5340
M A Starc,340,2.5315
E Chigumbura,336,2.5263
A J Doolan,335,2.5250
D Elgar,335,2.5250
G S Ballance,334,2.5237
H D Rutherford,334,2.5237
C J Anderson,334,2.5237
M G Johnson,332,2.5211
M N Waller,331,2.5198
V Sibanda,329,2.5172
N R D Compton,320,2.5051
Moeen Ali,308,2.4886
S D Robson,305,2.4843
S K Raina,301,2.4786
J L Pattinson,300,2.4771
U T Khawaja,297,2.4728
K D K Vithanage,287,2.4579
Shan Masood,281,2.4487
Shamsur Rahman,280,2.4472
Imrul Kayes,280,2.4472
M D K Perera,278,2.4440
H D R Thirimanne,277,2.4425
T G Southee,273,2.4362
M A Vermeulen,271,2.4330
R J Harris,270,2.4314
Harbhajan Singh,262,2.4183
D S Smith,260,2.4150
Sarfraz Ahmed,251,2.3997
