Name,Rating,LogRating
N W Bracken,786,2.8954
D L Vettori,765,2.8837
S E Bond,714,2.8537
W P U Vaas,693,2.8407
M Muralitharan,687,2.837
B Lee,677,2.8306
A Nel,677,2.8306
K D Mills,667,2.8241
Shahid Afridi,647,2.8109
D B Powell,646,2.8102
S C J Broad,645,2.8096
M F Maharoof,630,2.7993
M G Johnson,629,2.7987
M Ntini,622,2.7938
J D P Oram,622,2.7938
A Flintoff,619,2.7917
J E Taylor,608,2.7839
Harbhajan Singh,596,2.7752
P J Ongondo,595,2.7745
C K Langeveldt,591,2.7716
S L Malinga,590,2.7709
Umar Gul,577,2.7612
Iftikhar Anjum,573,2.7582
Mohammad Asif,573,2.7582
Sohail Tanvir,572,2.7574
J M Anderson,571,2.7566
S R Clark,569,2.7551
P Utseya,568,2.7543
C R D Fernando,564,2.7513
Abdur Razzak,556,2.7451
Zaheer Khan,552,2.7419
D J J Bravo,550,2.7404
J R Hopes,533,2.7267
I K Pathan,532,2.7259
Shoaib Akhtar,529,2.7235
S W Tait,528,2.7226
T M Odoyo,526,2.721
P Kumar,524,2.7193
Syed Rasel,518,2.7143
R J Sidebottom,512,2.7093
R P Singh,512,2.7093
Naved ul Hasan,510,2.7076
Mashrafe Mortaza,507,2.705
F H Edwards,506,2.7042
S Sreesanth,503,2.7016
M R Gillespie,503,2.7016
S Dhaniram,502,2.7007
K M D Kulasekara,496,2.6955
S J Harmison,495,2.6946
M J Mason,493,2.6928
J S Patel,492,2.692
Shakib Al Hasan,489,2.6893
P D Collingwood,485,2.6857
J E C Franklin,484,2.6848
J H Kallis,479,2.6803
P P Chawla,476,2.6776
S T Jayasuriya,474,2.6758
T Mupariwa,473,2.6749
S R Watson,471,2.673
R D M Leverock,469,2.6712
Shoaib Malik,467,2.6693
Mohammad Sami,466,2.6684
C H Gayle,463,2.6656
M M Patel,462,2.6646
W K McCallan,454,2.6571
J Botha,454,2.6571
S O Tikolo,452,2.6551
S B Styris,451,2.6542
A C Botha,450,2.6532
J A Morkel,449,2.6522
D R Smith,447,2.6503
L E Plunkett,442,2.6454
H A Varaiya,436,2.6395
I Sharma,434,2.6375
C M Bandara,421,2.6243
U Bhatti,420,2.6232
J M Davison,418,2.6212
E Chigumbura,413,2.616
E C Rainsford,413,2.616
D R Tuffey,411,2.6138
M Morkel,405,2.6075
M N Samuels,402,2.6042
T M Dilshan,402,2.6042
Abdul Razzaq,400,2.6021
M J Clarke,400,2.6021
R Rampaul,398,2.5999
J K Kamande,395,2.5966
S I Mahmood,392,2.5933
Mohammad Hafeez,390,2.5911
C B Mpofu,387,2.5877
G P Swann,386,2.5866
A Nehra,383,2.5832
R W Price,376,2.5752
R N ten Doeschate,368,2.5658
Yuvraj Singh,358,2.5539
T G Southee,356,2.5514
B A W Mendis,356,2.5514
D T Johnston,353,2.5478
H Osinde,351,2.5453
R M Haq,347,2.5403
