Name,Rating,LogRating
S P D Smith,913,2.9605
A B de Villiers,908,2.9581
H M Amla,891,2.9499
K C Sangakkara,883,2.9460
A D Mathews,847,2.9279
J E Root,815,2.9112
K S Williamson,813,2.9101
Younis Khan,808,2.9074
D A Warner,757,2.8791
V Kohli,755,2.8779
Azhar Ali,732,2.8645
M J Clarke,726,2.8609
Misbah ul Haq,725,2.8603
L R Taylor,722,2.8585
B B McCullum,715,2.8543
A N Cook,715,2.8543
Asad Shafiq,713,2.8531
F du Plessis,704,2.8476
M J Vijay,689,2.8382
Sarfraz Ahmed,677,2.8306
A M Rahane,666,2.8235
C J L Rogers,664,2.8222
Mominul Haque,653,2.8149
B J Watling,644,2.8089
C A Pujara,641,2.8069
J K Silva,638,2.8048
Tamim Iqbal,627,2.7973
M N Samuels,623,2.7945
Shakib Al Hasan,615,2.7889
D M Bravo,591,2.7716
G S Ballance,591,2.7716
I R Bell,578,2.7619
Mohammad Hafeez,569,2.7551
Ahmed Shehzad,555,2.7443
J P Duminy,545,2.7364
J Blackwood,540,2.7324
F D M Karunaratne,539,2.7316
T W M Latham,534,2.7275
S R Watson,525,2.7202
B A Stokes,524,2.7193
K C Brathwaite,520,2.7160
S Dhawan,519,2.7152
D Elgar,506,2.7042
Mushfiqur Rahim,501,2.6998
J C Buttler,494,2.6937
R Ashwin,490,2.6902
L D Chandimal,489,2.6893
B J Haddin,478,2.6794
S E Marsh,472,2.6739
R G Sharma,471,2.6730
Mahmudullah,470,2.6721
W U Tharanga,457,2.6599
Imrul Kayes,447,2.6503
D Ramdin,446,2.6493
A C Voges,441,2.6444
V D Philander,437,2.6405
L Ronchi,432,2.6355
J D S Neesham,429,2.6325
J O Holder,415,2.6180
Nasir Hossain,414,2.6170
M J Guptill,408,2.6107
M D Craig,404,2.6064
Q de Kock,397,2.5988
L R Johnson,389,2.5899
C J Anderson,386,2.5866
H A P W Jayawardena,384,2.5843
H D R Thirimanne,370,2.5682
J M Bairstow,363,2.5599
S van Zyl,354,2.5490
M G Johnson,352,2.5465
Moeen Ali,346,2.5391
S C J Broad,341,2.5328
A Lyth,323,2.5092
H D Rutherford,321,2.5065
M A Starc,314,2.4969
Shoaib Malik,308,2.4886
M R Marsh,291,2.4639
N R D Compton,289,2.4609
B Kumar,285,2.4548
J L Pattinson,277,2.4425
U T Khawaja,274,2.4378
D S Smith,270,2.4314
T G Southee,270,2.4314
R A Jadeja,270,2.4314
S O Dowrich,270,2.4314
J A Burns,268,2.4281
Litton Das,265,2.4232
K L Rahul,254,2.4048
S K Raina,252,2.4014
K D K Vithanage,246,2.3909
D W Steyn,242,2.3838
Harbhajan Singh,242,2.3838
Shan Masood,226,2.3541
S D Hope,225,2.3522
P M Siddle,224,2.3502
A Mishra,219,2.3404
Shuvagata Hom,214,2.3304
K T G Prasad,200,2.3010
H M R Herath,194,2.2878
N M Lyon,193,2.2856
