Name,Rating
K P Pietersen,882
B B McCullum,774
D A Warner,764
C H Gayle,744
G C Smith,718
J H Kallis,714
K C Sangakkara,701
Yuvraj Singh,698
D P M Jayawardene,695
T M Dilshan,667
S K Raina,666
G Gambhir,661
E J G Morgan,651
C L White,649
D J Hussey,635
Kamran Akmal,583
A B de Villiers,571
Salman Butt,563
Misbah ul Haq,547
S T Jayasuriya,541
Shahid Afridi,526
S R Watson,507
Shoaib Malik,503
C Kieswetter,503
L R Taylor,500
P D Collingwood,493
Umar Akmal,491
J P Duminy,477
M E K Hussey,470
H Masakadza,469
J A Morkel,446
M S Dhoni,420
L E Bosman,418
S B Styris,417
R G Sharma,393
J D Ryder,390
Rizwan Cheema,383
Younis Khan,381
M J Clarke,371
V Sehwag,368
D J J Bravo,368
K J Coetzer,366
M J Guptill,365
A D Mathews,362
Imran Nazir,352
Mohammad Ashraful,350
S O Tikolo,337
L J Wright,336
J D P Oram,328
Abdul Razzaq,323
B R M Taylor,323
Noor Ali Zadran,322
B J Haddin,307
A Bagai,302
M J Lumb,300
L M P Simmons,297
E S Szwarczynski,295
W T S Porterfield,292
D O Obuya,290
C K Kapugedera,287
A N Kervezee,282
N J O'Brien,273
Y K Pathan,269
T Taibu,263
Shakib Al Hasan,257
Junaid Siddique,251
T N de Grooth,228
E Chigumbura,226
R S Bopara,225
Mohammad Shahzad,223
Tamim Iqbal,208
K A Pollard,204
C J Chibhabha,203
I R Bell,202
R V Uthappa,198
Naeem Islam,195
N L McCullum,194
Mohammad Hafeez,190
D Ramdin,190
M N Samuels,188
C O Obuya,180
Fawad Alam,180
P W Borren,178
H Patel,175
Karim Sadiq,174
A R Cusack,171
A R White,171
M J Vijay,164
D L Vettori,160
G C Wilson,159
D J G Sammy,158
J Botha,156
Mashrafe Mortaza,151
A A Obanda,149
I K Pathan,147
J F Mooney,145
K J O'Brien,143
A D S Fletcher,143
J E C Franklin,138
Mirwais Ashraf,135
