Name,Rating,LogRating
S M Pollock,874,2.9415
N W Bracken,793,2.8993
S E Bond,789,2.8971
W P U Vaas,752,2.8762
M Muralitharan,729,2.8627
D L Vettori,696,2.8426
M Ntini,695,2.842
B Lee,688,2.8376
A Nel,659,2.8189
G B Hogg,657,2.8176
A B Agarkar,643,2.8082
A Flintoff,632,2.8007
S L Malinga,623,2.7945
A J Hall,619,2.7917
Harbhajan Singh,618,2.791
Abdur Razzak,617,2.7903
J D P Oram,614,2.7882
Shahid Afridi,611,2.786
Zaheer Khan,604,2.781
K D Mills,602,2.7796
P Utseya,599,2.7774
Mohammad Asif,597,2.776
J M Anderson,585,2.7672
Naved ul Hasan,581,2.7642
I K Pathan,575,2.7597
P J Ongondo,572,2.7574
S J Harmison,558,2.7466
M F Maharoof,556,2.7451
S W Tait,547,2.738
D B Powell,546,2.7372
J E Taylor,537,2.73
J E C Franklin,535,2.7284
Syed Rasel,533,2.7267
Mohammad Sami,530,2.7243
C K Langeveldt,524,2.7193
Mashrafe Mortaza,523,2.7185
J H Kallis,521,2.7168
Shoaib Akhtar,519,2.7152
M M Patel,518,2.7143
Iftikhar Anjum,513,2.7101
C H Gayle,510,2.7076
C R D Fernando,508,2.7059
S B Styris,505,2.7033
S Sreesanth,499,2.6981
D J J Bravo,499,2.6981
R R Powar,499,2.6981
G B Brent,498,2.6972
D R Smith,497,2.6964
S R Clark,495,2.6946
T M Odoyo,495,2.6946
S R Watson,494,2.6937
Umar Gul,484,2.6848
L E Plunkett,479,2.6803
Shoaib Malik,474,2.6758
C M Bandara,473,2.6749
S T Jayasuriya,473,2.6749
J S Patel,471,2.673
P D Collingwood,464,2.6665
J Lewis,463,2.6656
F H Edwards,460,2.6628
A Nehra,459,2.6618
Abdul Razzaq,456,2.659
T M Dilshan,455,2.658
D R Tuffey,454,2.6571
R P Singh,452,2.6551
M G Johnson,451,2.6542
T Mupariwa,448,2.6513
M J Mason,447,2.6503
S I Mahmood,443,2.6464
S Dhaniram,440,2.6435
E C Rainsford,439,2.6425
S O Tikolo,438,2.6415
Mohammad Hafeez,435,2.6385
Shakib Al Hasan,435,2.6385
J M Davison,431,2.6345
M N Samuels,427,2.6304
W K McCallan,426,2.6294
M R Gillespie,421,2.6243
M Kartik,415,2.618
R D M Leverock,412,2.6149
H A Varaiya,410,2.6128
U D U Chandana,408,2.6107
M S Panesar,407,2.6096
A Symonds,397,2.5988
D Langford-Smith,392,2.5933
K S Lokuarachchi,391,2.5922
C B Mpofu,385,2.5855
A C Botha,385,2.5855
R W Price,371,2.5694
V Sehwag,368,2.5658
L Balaji,365,2.5623
C M Wright,359,2.5551
U Bhatti,357,2.5527
J K Kamande,357,2.5527
G W Flower,349,2.5428
W F Stelling,348,2.5416
A M Blignaut,345,2.5378
T Panyangara,342,2.534
Yuvraj Singh,339,2.5302
C O Obuya,339,2.5302
