Name,Rating
Umar Gul,820
Shahid Afridi,809
D L Vettori,782
Harbhajan Singh,662
B A W Mendis,625
S C J Broad,623
J Botha,593
J M Anderson,578
Abdur Razzak,562
B Lee,548
S L Malinga,531
D W Steyn,518
I K Pathan,515
M Muralitharan,482
R E van der Merwe,478
W D Parnell,473
J E Taylor,466
M G Johnson,460
S J Benn,456
J A Morkel,454
Shakib Al Hasan,454
C R D Fernando,448
Saeed Ajmal,447
P Utseya,437
M Morkel,436
S T Jayasuriya,424
J R Hopes,422
D J G Sammy,416
R J Sidebottom,414
F H Edwards,405
K D Mills,393
Zaheer Khan,389
Sohail Tanvir,377
C H Gayle,376
G P Swann,375
Shoaib Malik,371
T M Odoyo,366
D J J Bravo,363
B W Hilfenhaus,352
I G Butler,352
A R Cusack,351
Mashrafe Mortaza,344
S E Bond,343
Mohammad Asif,340
D J Hussey,327
J D P Oram,324
Mohammad Amir,315
T G Southee,295
D T Johnston,294
Abdul Razzaq,288
S B Styris,285
S Dhaniram,280
E Chigumbura,278
J D Nel,277
P D Collingwood,274
H S Baidwan,269
H Osinde,266
E Schiferli,260
I Sharma,259
M Ntini,259
R A Jadeja,258
J K Kamande,258
W B Rankin,257
P M Seelaar,252
R W Price,251
P W Borren,247
I Udana,236
K A Pollard,233
R N ten Doeschate,229
A D Mathews,228
G D Drummond,222
H A Varaiya,213
Shoaib Akhtar,207
N L McCullum,204
R Rampaul,203
Y K Pathan,195
Rizwan Cheema,192
Mohammad Hafeez,191
M J Clarke,183
Fawad Alam,178
J E C Franklin,168
D R Smith,159
Mohammad Ashraful,157
K J O'Brien,157
R M Haq,156
Mahmudullah,156
M T Thushara,151
A U Rashid,145
R G Aga,144
J H Kallis,140
J M Davison,137
K M D Kulasekara,136
Shahadat Hossain,133
S R Watson,133
R D Berrington,132
T M Dilshan,130
R J Peterson,128
Yasir Arafat,128
P P Ojha,126
Yuvraj Singh,124
