Name,Rating
A Symonds,285
P D Collingwood,229
D R Smith,212
N W Bracken,197
C R D Fernando,180
S E Bond,176
J M Anderson,166
S M Pollock,165
J E C Franklin,162
B Lee,162
J S Patel,160
J J van der Wath,160
S T Jayasuriya,152
S C J Broad,141
J A Morkel,138
J R Hopes,132
R J Sidebottom,128
S R Clark,123
D J G Sammy,117
M H Yardy,112
C K Langeveldt,107
A Flintoff,99
D B Powell,96
K D Mills,89
R Rampaul,87
T M Dilshan,87
A Nel,84
Naved ul Hasan,74
Abdur Razzak,72
S L Malinga,71
Zaheer Khan,69
R J Peterson,66
M F Maharoof,65
Mohammad Asif,63
M J Clarke,61
Shahadat Hossain,60
M N Samuels,59
P Utseya,57
S I Mahmood,56
M Muralitharan,55
A D Mascarenhas,51
M R Gillespie,49
Abdul Razzaq,48
B W Hilfenhaus,45
S B Styris,44
L E Plunkett,43
G B Hogg,43
C H Gayle,42
W P U Vaas,42
C M Bandara,40
D J J Bravo,38
Mashrafe Mortaza,35
D R Tuffey,34
A B Agarkar,33
Shoaib Akhtar,32
G C Smith,26
M Ntini,25
S Sreesanth,24
I K Pathan,24
Shahid Afridi,22
J Botha,21
Shakib Al Hasan,21
M J Mason,20
S C Williams,19
S R Watson,19
C J Chibhabha,16
S M Harwood,16
G B Brent,16
J E Taylor,15
Harbhajan Singh,15
C L White,13
J M Kemp,10
K M Dabengwa,10
L P C Silva,9
Abdur Rehman,8
E Chigumbura,7
D P M Jayawardene,7
J H Kallis,6
T T Bresnan,4
Zulqarnain Haider,0
C K Kapugedera,0
W U Tharanga,0
D Ramdin,0
S K Raina,0
I J L Trott,0
J A H Marshall,0
L R Taylor,0
L M P Simmons,0
E C Joyce,0
P D McGlashan,0
Nadif Chowdhury,0
A N Cook,0
Farhad Reza,0
A C L Richards,0
L E Bosman,0
Mushfiqur Rahim,0
A B de Villiers,0
Shoaib Malik,0
V S Solanki,0
N D McKenzie,0
