Name,Rating
B B McCullum,818
A D Hales,777
D P M Jayawardene,753
S R Watson,752
D A Warner,745
C H Gayle,744
M J Guptill,738
V Kohli,731
S K Raina,719
M N Samuels,680
E J G Morgan,675
H Masakadza,660
T M Dilshan,654
Yuvraj Singh,648
Mohammad Hafeez,643
K C Sangakkara,638
K P Pietersen,619
J P Duminy,616
Umar Akmal,591
M R Swart,550
D J J Bravo,547
Tamim Iqbal,537
Shakib Al Hasan,524
C L White,513
M S Dhoni,513
J Charles,512
L J Wright,508
Mohammad Shahzad,492
A B de Villiers,492
R G Sharma,473
B R M Taylor,468
L R Taylor,468
H Davids,468
L M P Simmons,467
K A Pollard,462
Shahid Afridi,446
Kamran Akmal,427
Nasir Jamshed,424
K J Coetzer,424
P R Stirling,418
Shoaib Malik,415
F du Plessis,413
A D Mathews,412
W T S Porterfield,406
C J Chibhabha,404
G J Bailey,386
H D Rutherford,385
M J Lumb,374
R D Berrington,368
E Chigumbura,362
J E C Franklin,355
M D K J Perera,353
J A Morkel,351
C O Obuya,335
G C Wilson,334
D R Smith,328
R J Nicol,316
E C Joyce,316
Ahmed Shehzad,315
H M Amla,314
J C Buttler,302
Nasir Hossain,302
R R Patel,292
A M Rahane,292
J D Ryder,287
Noor Ali Zadran,286
D M Bravo,283
D A Miller,282
S O Tikolo,281
B M A J Mendis,281
R S Bopara,279
Rizwan Cheema,279
N J O'Brien,278
Mushfiqur Rahim,278
N L T Perera,277
A A Obanda,271
A Bagai,268
Karim Sadiq,266
C S MacLeod,254
Abdul Razzaq,251
Gulbadin Naib,250
T L W Cooper,246
S J Myburgh,236
R Gunasekera,235
B J Haddin,235
K S Williamson,234
M N Waller,231
M W Machan,226
J M Bairstow,224
A J Finch,224
S E Marsh,217
T Mishra,216
C R Ervine,216
M S Wade,215
H Patel,215
E S Szwarczynski,215
Mahmudullah,214
C K Kapugedera,209
J L Ontong,208
K J O'Brien,203
