Name,Rating,LogRating
S P Narine,759,2.8802
T A Boult,731,2.8639
Shakib Al Hasan,699,2.8445
Imran Tahir,693,2.8407
M A Starc,681,2.8331
M J Henry,675,2.8293
D W Steyn,645,2.8096
K Rabada,645,2.8096
M Morkel,628,2.7980
Mohammad Irfan,616,2.7896
R Ashwin,606,2.7825
A R Patel,603,2.7803
J M Anderson,594,2.7738
J R Hazlewood,593,2.7731
Moeen Ali,591,2.7716
Mohammad Shami,580,2.7634
Mashrafe Mortaza,579,2.7627
Mohammad Hafeez,568,2.7543
J O Holder,565,2.7520
S T Finn,564,2.7513
B Kumar,560,2.7482
H M R Herath,559,2.7474
Mohammad Nabi,559,2.7474
Hamza Hotak,555,2.7443
A U Rashid,555,2.7443
M J McClenaghan,555,2.7443
Dawlat Zadran,554,2.7435
S M S Senanayake,554,2.7435
G H Dockrell,549,2.7396
R A Jadeja,549,2.7396
Mirwais Ashraf,544,2.7356
R A S Lakmal,536,2.7292
J C Tredwell,531,2.7251
S L Malinga,527,2.7218
C R Woakes,525,2.7202
A D Mathews,525,2.7202
R Rampaul,523,2.7185
J P Faulkner,521,2.7168
A F Milne,520,2.7160
T G Southee,518,2.7143
A Mishra,516,2.7126
K J Abbott,515,2.7118
K A J Roach,512,2.7093
D J Willey,510,2.7076
V D Philander,509,2.7067
Arafat Sunny,504,2.7024
Rubel Hossain,503,2.7016
U T Yadav,503,2.7016
Mustafizur Rahman,502,2.7007
M R Marsh,498,2.6972
T L Chatara,497,2.6964
Wahab Riaz,491,2.6911
J W Hastings,488,2.6884
W D Parnell,478,2.6794
M M Sharma,477,2.6785
Yasir Shah,476,2.6776
T Panyangara,472,2.6739
R M Haq,472,2.6739
S J Benn,469,2.6712
T J Murtagh,467,2.6693
C J Anderson,467,2.6693
Junaid Khan,460,2.6628
X J Doherty,458,2.6609
P Utseya,456,2.6590
Hamid Hassan,455,2.6580
Shapoor Zadran,447,2.6503
W B Rankin,446,2.6493
I Sharma,445,2.6484
T M Dilshan,445,2.6484
C J Jordan,444,2.6474
A M Phangiso,442,2.6454
A D Russell,439,2.6425
D J G Sammy,438,2.6415
K M D Kulasekara,437,2.6405
S C J Broad,437,2.6405
P J Cummins,436,2.6395
N M Coulter Nile,434,2.6375
P R Stirling,434,2.6375
J E Taylor,434,2.6375
T T Bresnan,430,2.6335
Nasir Hossain,430,2.6335
D A J Bracewell,426,2.6294
K J O'Brien,425,2.6284
G J Maxwell,423,2.6263
Mahmudullah,421,2.6243
B A Stokes,419,2.6222
D S Kulkarni,416,2.6191
B A W Mendis,414,2.6170
J H Davey,413,2.6160
S Prasanna,403,2.6053
R J W Topley,399,2.6010
N O Miller,392,2.5933
S C Williams,391,2.5922
S R Watson,390,2.5911
Umar Gul,389,2.5899
J J Bumrah,388,2.5888
N L T Perera,388,2.5888
Harbhajan Singh,386,2.5866
I Wardlaw,381,2.5809
Taskin Ahmed,380,2.5798
