Name,Rating
V Kohli,837
A J Finch,803
M J Guptill,754
J E Root,750
F du Plessis,741
K S Williamson,719
A D Hales,713
C H Gayle,696
Mohammad Shahzad,674
S R Watson,664
H Masakadza,657
H M Amla,646
D A Warner,639
T M Dilshan,638
Sabbir Rahman,632
E J G Morgan,620
Q de Kock,619
M N Samuels,619
J P Duminy,612
G J Maxwell,611
Umar Akmal,605
R G Sharma,592
J C Buttler,575
S K Raina,558
M N Waller,554
Ahmed Shehzad,553
S J Myburgh,553
Shakib Al Hasan,548
M D K J Perera,543
D A Miller,538
L M P Simmons,521
Mohammad Hafeez,520
A B de Villiers,513
M R Swart,510
Tamim Iqbal,508
Yuvraj Singh,506
C Munro,499
D J J Bravo,499
K J Coetzer,498
Shahid Afridi,492
E Chigumbura,489
P R Stirling,487
Shoaib Malik,486
W Barresi,484
A D Mathews,483
R D Berrington,481
P W Borren,474
A D S Fletcher,473
Asghar Stanikzai,471
M S Dhoni,470
J Charles,470
W T S Porterfield,469
Najibullah Zadran,464
U T Khawaja,458
L R Taylor,457
Babar Hayat,453
M W Machan,448
N L T Perera,444
Mohammad Nabi,430
Mahmudullah,425
J J Roy,425
Samiullah Shenwari,423
S C Williams,416
S Dhawan,404
Sharjeel Khan,403
L D Chandimal,397
D R Smith,394
Shaiman Anwar,394
V Sibanda,389
M S Chapman,384
P L Mommsen,383
Mushfiqur Rahim,375
G C Wilson,374
C J Chibhabha,374
K A Pollard,371
T L W Cooper,371
Zeeshan Maqsood,370
Noor Ali Zadran,367
J M Vince,366
B N Cooper,345
S P D Smith,345
L Ronchi,343
Sarfraz Ahmed,343
Adnan Ilyas,343
Anamul Haque,342
C K Kapugedera,341
R R Rossouw,340
Gulbadin Naib,339
K J O'Brien,335
M H Cross,335
D J G Sammy,331
C J Anderson,331
Mukhtar Ahmed,324
Mohammad Usman,323
Soumya Sarkar,319
M N van Wyk,303
Karim Sadiq,284
A M Rahane,279
Paras Khadka,278
Mandeep Singh,272
