Name,Rating
D L Vettori,758
G P Swann,745
S W Tait,731
Shahid Afridi,720
B A W Mendis,711
Saeed Ajmal,711
J Botha,696
M G Johnson,683
N L McCullum,681
S L Malinga,680
D J G Sammy,679
Harbhajan Singh,661
S C J Broad,637
D W Steyn,622
M Morkel,615
Mohammad Amir,596
Umar Gul,588
S J Benn,578
T G Southee,576
P Utseya,571
Shakib Al Hasan,565
Abdur Razzak,563
J E Taylor,556
D T Johnston,554
T T Bresnan,535
S T Jayasuriya,521
S R Watson,516
Abdul Razzaq,516
K M D Kulasekara,500
D J Hussey,498
K D Mills,490
W D Parnell,466
A D Mathews,459
Y K Pathan,456
S P D Smith,452
R W Price,451
B Lee,441
J A Morkel,441
Hamid Hassan,436
C R D Fernando,436
I G Butler,435
J D P Oram,424
R E van der Merwe,423
I K Pathan,412
A R Cusack,412
P M Seelaar,410
D J J Bravo,410
A Nehra,405
K A J Roach,391
Mohammad Hafeez,385
Mashrafe Mortaza,384
H A Varaiya,380
G H Dockrell,374
Abdur Rehman,371
P W Borren,369
Zaheer Khan,361
N O Miller,355
H S Baidwan,348
R A Jadeja,342
K A Pollard,339
T M Odoyo,338
R M Haq,334
S Randiv,332
W B Rankin,327
Sohail Tanvir,320
C B Mpofu,317
C H Gayle,313
F H Edwards,312
L L Tsotsobe,309
R Rampaul,305
J Theron,300
Samiullah Shenwari,297
J H Kallis,297
R McLaren,295
Shoaib Malik,292
I Sharma,290
K J O'Brien,289
Mohammad Nabi,287
J E C Franklin,287
G D Drummond,286
Rizwan Cheema,284
Mudassar Bukhari,278
Yuvraj Singh,274
L J Wright,264
E Chigumbura,257
N L T Perera,256
Shapoor Zadran,249
B W Hilfenhaus,245
Mohammad Ashraful,238
A G Cremer,238
H Osinde,230
R D Berrington,214
Yasir Arafat,212
R J Peterson,201
Karim Sadiq,198
Mirwais Ashraf,197
T M Dilshan,195
S O Tikolo,190
N N Odhiambo,179
P P Chawla,178
