Name,Rating,LogRating
S Chanderpaul,856,2.9325
K C Sangakkara,850,2.9294
A B de Villiers,821,2.9143
J H Kallis,819,2.9133
Younis Khan,808,2.9074
M J Clarke,771,2.8871
H M Amla,763,2.8825
L R Taylor,761,2.8814
A N Cook,756,2.8785
G C Smith,753,2.8768
S R Tendulkar,749,2.8745
T T Samaraweera,742,2.8704
D P M Jayawardene,735,2.8663
Misbah ul Haq,734,2.8657
I R Bell,723,2.8591
K P Pietersen,718,2.8561
I J L Trott,709,2.8506
M E K Hussey,705,2.8482
Azhar Ali,703,2.847
R T Ponting,691,2.8395
B B McCullum,651,2.8136
V Sehwag,644,2.8089
D M Bravo,642,2.8075
A J Strauss,642,2.8075
M J Prior,625,2.7959
Tamim Iqbal,622,2.7938
T M Dilshan,617,2.7903
C H Gayle,604,2.781
Shakib Al Hasan,596,2.7752
S R Watson,585,2.7672
A D Mathews,580,2.7634
G Gambhir,574,2.7589
M N Samuels,571,2.7566
K S Williamson,571,2.7566
D L Vettori,571,2.7566
Mohammad Hafeez,551,2.7412
Asad Shafiq,544,2.7356
Mushfiqur Rahim,532,2.7259
M S Dhoni,526,2.721
A N Petersen,521,2.7168
D A Warner,516,2.7126
B J Haddin,514,2.711
H A P W Jayawardena,505,2.7033
Taufeeq Umar,502,2.7007
M J Guptill,501,2.6998
N T Paranavitana,500,2.699
V Kohli,472,2.6739
S C J Broad,467,2.6693
P J Hughes,450,2.6532
Junaid Siddique,447,2.6503
Imran Farhat,447,2.6503
D J G Sammy,429,2.6325
Shahriar Nafees,427,2.6304
K A Edwards,424,2.6274
D G Brownlie,423,2.6263
E J M Cowan,398,2.5999
L D Chandimal,397,2.5988
J P Duminy,394,2.5955
Shoaib Malik,388,2.5888
J A Rudolph,388,2.5888
B R M Taylor,386,2.5866
Yuvraj Singh,383,2.5832
Mahmudullah,372,2.5705
D Ramdin,363,2.5599
S K Raina,351,2.5453
M S Wade,349,2.5428
T T Bresnan,348,2.5416
Mohammad Ashraful,346,2.5391
D R Flynn,336,2.5263
Adnan Akmal,336,2.5263
N Deonarine,336,2.5263
V Sibanda,335,2.525
C F K van Wyk,331,2.5198
R Ashwin,330,2.5185
M J Vijay,330,2.5185
S P D Smith,330,2.5185
G P Swann,329,2.5172
U T Khawaja,324,2.5105
Harbhajan Singh,321,2.5065
T M K Mawoyo,319,2.5038
Nasir Hossain,316,2.4997
B J Watling,313,2.4955
M G Johnson,309,2.49
D S Smith,299,2.4757
M A Vermeulen,288,2.4594
A Mishra,284,2.4533
R S Bopara,282,2.4502
K O A Powell,274,2.4378
T G Southee,271,2.433
Nazimuddin,269,2.4298
R W Chakabva,267,2.4265
P M Siddle,267,2.4265
K C Brathwaite,265,2.4232
Naeem Islam,262,2.4183
Khurram Manzoor,259,2.4133
W U Tharanga,257,2.4099
Imrul Kayes,257,2.4099
M N Waller,254,2.4048
J E C Franklin,249,2.3962
D W Steyn,238,2.3766
