Name,Rating
A J Finch,892
V Kohli,889
A D Hales,860
B B McCullum,777
F du Plessis,714
M D K J Perera,707
J P Duminy,698
Ahmed Shehzad,684
D A Warner,681
S K Raina,679
C H Gayle,671
Yuvraj Singh,670
T M Dilshan,651
H Masakadza,650
M J Guptill,648
Umar Akmal,633
S R Watson,621
M N Samuels,612
H M Amla,611
Mohammad Hafeez,606
E J G Morgan,602
Shakib Al Hasan,597
R G Sharma,578
Mohammad Shahzad,570
P R Stirling,543
D J J Bravo,542
L M P Simmons,532
C L White,524
M R Swart,508
M S Dhoni,507
M W Machan,506
R S Bopara,499
A B de Villiers,498
Shahid Afridi,495
Tamim Iqbal,491
L R Taylor,486
A D Mathews,485
T L W Cooper,484
W T S Porterfield,480
Anamul Haque,476
D R Smith,465
Q de Kock,458
S J Myburgh,454
E Chigumbura,448
J C Buttler,446
N L T Perera,429
R D Berrington,426
K A Pollard,421
Mushfiqur Rahim,409
D A Miller,404
K S Williamson,404
G J Maxwell,396
K J Coetzer,383
W Barresi,380
Sharjeel Khan,376
G C Wilson,376
J Charles,371
C J Chibhabha,365
D J G Sammy,348
Nasir Hossain,342
Shoaib Malik,342
J A Morkel,317
L Ronchi,317
C S MacLeod,299
A M Rahane,298
K J O'Brien,287
H D R Thirimanne,285
Noor Ali Zadran,285
P W Borren,284
Sharad Vesawkar,278
N J O'Brien,267
Mahmudullah,265
Gulbadin Naib,259
C Munro,254
J E Root,253
M N Waller,250
A D Poynter,240
Samiullah Shenwari,233
A P Devcich,228
Mohammad Nabi,225
S C Williams,217
Karim Sadiq,216
D M Bravo,213
B J Haddin,209
S E Marsh,205
G Malla,204
V Sibanda,204
R M L Taylor,204
Nowroz Mangal,201
Asghar Stanikzai,201
Paras Khadka,201
S P Khakurel,200
C R Ervine,195
Najibullah Zadran,195
M S Wade,194
Mashrafe Mortaza,192
Sohaib Maqsood,192
M A Leask,184
D Ramdin,179
Shafiqullah,176
