Name,Rating
S Badree,790
J J Bumrah,744
Imran Tahir,740
S P Narine,685
Shahid Afridi,674
K J Abbott,671
R Ashwin,670
A F Milne,655
J P Faulkner,641
Mohammad Nabi,638
M J McClenaghan,634
Rashid Khan,633
D Wiese,632
Shakib Al Hasan,631
Al-Amin Hossain,612
Hamza Hotak,604
A G Cremer,602
Mustafizur Rahman,600
R A Jadeja,599
A Nehra,597
N M Coulter Nile,594
K Rabada,583
T van der Gugten,582
Mudassar Bukhari,579
S M S Senanayake,574
Dawlat Zadran,574
G H Dockrell,573
K M D Kulasekara,565
S R Watson,562
C J Jordan,560
Mohammad Naveed,557
Nadeem Ahmed,555
H M R Herath,553
Mohammad Irfan,550
M A A Jamil,544
M A Starc,538
G J Maxwell,538
S L Malinga,537
I S Sodhi,532
A D Mathews,532
D J J Bravo,531
Mashrafe Mortaza,531
Mohammad Hafeez,521
M J Santner,519
Tanwir Afzal,515
Samiullah Shenwari,514
Aizaz Khan,513
K J O'Brien,509
P J Cummins,498
A U Rashid,493
Hamid Hassan,483
S C Williams,476
C J Anderson,473
Imad Wasim,473
Sohail Tanvir,472
S Sharif,470
A D Russell,468
M N Samuels,465
D W Steyn,462
P W Borren,459
Yuvraj Singh,459
D J Willey,455
A M Phangiso,454
S T Finn,451
M C Sorensen,450
Bilal Khan,448
P A van Meekeren,444
W B Rankin,442
Haseeb Amjad,441
S J Benn,441
P V D Chameera,438
Taskin Ahmed,437
T S Chisoro,436
P M Seelaar,436
Mahmudullah,433
Wahab Riaz,432
Ahmed Raza,430
M R J Watt,429
W D Parnell,425
P Utseya,425
D J G Sammy,421
A R Patel,415
L E Plunkett,415
N L T Perera,412
Shapoor Zadran,412
T A Boult,410
R E van der Merwe,409
A C Evans,407
Mohammad Sami,404
J P Duminy,402
B Kumar,399
G D Elliott,396
P R Stirling,396
D T Tiripano,395
Rohan Mustafa,393
B A Stokes,390
Amjad Javed,390
Shoaib Malik,389
H H Pandya,388
T G Southee,384
