Name,Rating
S P Narine,778
Saeed Ajmal,742
B A W Mendis,716
Shakib Al Hasan,669
K M D Kulasekara,662
Abdur Razzak,660
P Utseya,646
N L McCullum,642
Mohammad Hafeez,642
Shahid Afridi,641
S L Malinga,637
S T Finn,631
A D Mathews,629
S R Watson,626
D W Steyn,625
S C J Broad,624
Umar Gul,621
R Ashwin,618
D T Johnston,610
J W Dernbach,609
M Morkel,600
G H Dockrell,598
W B Rankin,579
D J G Sammy,567
Harbhajan Singh,542
S Badree,535
R J Peterson,531
R M Haq,531
D L Vettori,527
T G Southee,527
M A Starc,522
Sohail Tanvir,521
Yuvraj Singh,520
P M Seelaar,506
T T Bresnan,503
H A Varaiya,499
R Rampaul,491
S W Tait,488
P J Cummins,484
K D Mills,465
K J O'Brien,465
D J J Bravo,465
A R Cusack,463
M G Johnson,461
Mashrafe Mortaza,455
Samiullah Shenwari,449
L L Tsotsobe,448
Hamid Hassan,443
G B Hogg,434
I G Butler,434
Mohammad Nabi,428
X J Doherty,424
R McLaren,409
Mudassar Bukhari,407
N L T Perera,407
L J Wright,405
J E C Franklin,405
P W Borren,405
C B Mpofu,401
R M Hira,398
G D Drummond,398
S J Benn,394
M N Samuels,392
Mohammad Amir,390
H S Baidwan,388
M J McClenaghan,385
R A Jadeja,383
J E Taylor,379
Raza Hasan,379
J A Morkel,374
Abdul Razzaq,371
Rizwan Cheema,371
K A Pollard,365
C H Gayle,363
P R Stirling,349
Mahmudullah,346
W D Parnell,336
Karim Sadiq,336
S O Ngoche,335
S P D Smith,334
M R Swart,331
C R D Fernando,329
D A J Bracewell,321
R G Aga,313
Shoaib Malik,311
I Sharma,307
E Chigumbura,304
Shapoor Zadran,295
R E van der Merwe,294
A Nehra,293
Dawlat Zadran,292
M C Sorensen,292
T M Odoyo,281
Junaid Siddiqui,277
A G Cremer,276
G J Maxwell,275
T M Dilshan,266
R D Berrington,262
P L Mommsen,259
D T Christian,248
