Name,Rating,LogRating
J H Kallis,883,2.9460
S R Tendulkar,874,2.9415
K C Sangakkara,838,2.9232
I J L Trott,833,2.9206
A N Cook,821,2.9143
V Sehwag,782,2.8932
T T Samaraweera,766,2.8842
S Chanderpaul,763,2.8825
A B de Villiers,760,2.8808
H M Amla,744,2.8716
M E K Hussey,742,2.8704
I R Bell,740,2.8692
V V S Laxman,739,2.8686
S R Watson,724,2.8597
G C Smith,723,2.8591
G Gambhir,716,2.8549
Younis Khan,711,2.8519
D P M Jayawardene,707,2.8494
Tamim Iqbal,707,2.8494
R Dravid,700,2.8451
L R Taylor,691,2.8395
Misbah ul Haq,688,2.8376
C H Gayle,688,2.8376
T M Dilshan,666,2.8235
M J Clarke,665,2.8228
B B McCullum,664,2.8222
K P Pietersen,659,2.8189
R T Ponting,641,2.8069
M J Prior,625,2.7959
A G Prince,620,2.7924
B J Haddin,609,2.7846
A J Strauss,602,2.7796
Umar Akmal,602,2.7796
D L Vettori,585,2.7672
Azhar Ali,582,2.7649
M S Dhoni,574,2.7589
R R Sarwan,558,2.7466
J D Ryder,537,2.7300
Shakib Al Hasan,522,2.7177
N T Paranavitana,518,2.7143
T Taibu,516,2.7126
M V Boucher,515,2.7118
Mushfiqur Rahim,505,2.7033
H A P W Jayawardena,504,2.7024
Imran Farhat,494,2.6937
M J Guptill,484,2.6848
P J Hughes,476,2.6776
Junaid Siddique,470,2.6721
B P Nash,454,2.6571
Taufeeq Umar,451,2.6542
Mahmudullah,439,2.6425
Shoaib Malik,429,2.6325
S C J Broad,429,2.6325
D M Bravo,419,2.6222
H Masakadza,413,2.6160
Yuvraj Singh,412,2.6149
Shahriar Nafees,400,2.6021
S K Raina,391,2.5922
A Barath,388,2.5888
E J G Morgan,386,2.5866
S P D Smith,380,2.5798
M J Vijay,379,2.5786
A N Petersen,374,2.5729
A D Mathews,365,2.5623
N Deonarine,364,2.5611
Harbhajan Singh,364,2.5611
M N Samuels,357,2.5527
Mohammad Ashraful,350,2.5441
D Ramdin,349,2.5428
D S Smith,341,2.5328
D R Flynn,335,2.5250
M G Johnson,334,2.5237
K S Williamson,332,2.5211
G P Swann,330,2.5185
J P Duminy,317,2.5011
Mohammad Hafeez,314,2.4969
B R M Taylor,306,2.4857
J A Rudolph,301,2.4786
M A Vermeulen,300,2.4771
R S Bopara,300,2.4771
Asad Shafiq,298,2.4742
W U Tharanga,290,2.4624
Khurram Manzoor,286,2.4564
T G Southee,279,2.4456
Imrul Kayes,273,2.4362
J E C Franklin,267,2.4265
P M Siddle,264,2.4216
D J G Sammy,253,2.4031
U T Khawaja,246,2.3909
R McLaren,241,2.3820
A J Redmond,240,2.3802
B J Watling,239,2.3784
L M P Simmons,237,2.3747
Raqibul Hasan,235,2.3711
Naeem Islam,229,2.3598
S J Benn,228,2.3579
T Panyangara,226,2.3541
Tanvir Ahmed,225,2.3522
Abdur Rehman,224,2.3502
C A Pujara,223,2.3483
