Name,Rating,LogRating
J M Anderson,877,2.9430
R Ashwin,871,2.9400
S C J Broad,852,2.9304
Yasir Shah,846,2.9274
D W Steyn,841,2.9248
R A Jadeja,789,2.8971
T A Boult,757,2.8791
J R Hazlewood,741,2.8698
M Morkel,724,2.8597
V D Philander,717,2.8555
T G Southee,703,2.8470
N M Lyon,690,2.8388
H M R Herath,671,2.8267
M A Starc,658,2.8182
P M Siddle,621,2.7931
Shakib Al Hasan,614,2.7882
N Wagner,607,2.7832
K T G Prasad,601,2.7789
S T Finn,593,2.7731
J L Pattinson,591,2.7716
I Sharma,579,2.7627
K A J Roach,574,2.7589
Junaid Khan,535,2.7284
J E Taylor,515,2.7118
M D K Perera,495,2.6946
B A Stokes,491,2.6911
S J Benn,489,2.6893
Zulfiqar Babar,477,2.6785
K Rabada,469,2.6712
Moeen Ali,467,2.6693
A Mishra,462,2.6646
U T Yadav,441,2.6444
N Pradeep,432,2.6355
Mohammad Shami,431,2.6345
Rahat Ali,422,2.6253
Harbhajan Singh,418,2.6212
D A J Bracewell,414,2.6170
Wahab Riaz,409,2.6117
R M S Eranga,404,2.6064
Imran Tahir,403,2.6053
M D Craig,401,2.6031
R A S Lakmal,375,2.5740
Taijul Islam,375,2.5740
Mohammad Hafeez,375,2.5740
D Bishoo,372,2.5705
P V D Chameera,369,2.5670
Imran Khan,368,2.5658
M A Wood,340,2.5315
M R Marsh,329,2.5172
B Kumar,326,2.5132
T A M Siriwardana,324,2.5105
J O Holder,320,2.5051
J M Bird,315,2.4983
Jubair Hossain,313,2.4955
D L Piedt,306,2.4857
K J Abbott,302,2.4800
S T Gabriel,301,2.4786
J P Duminy,297,2.4728
S R Harmer,289,2.4609
Mahmudullah,279,2.4456
Shahadat Hossain,268,2.4281
C J Jordan,252,2.4014
P H T Kaushal,243,2.3856
C R Woakes,229,2.3598
J D S Neesham,225,2.3522
A D Mathews,225,2.3522
V Permaul,203,2.3075
K S Williamson,201,2.3032
C J Anderson,195,2.2900
M N Samuels,193,2.2856
V R Aaron,182,2.2601
D Elgar,180,2.2553
J A Warrican,180,2.2553
M J Henry,169,2.2279
Rubel Hossain,159,2.2014
S van Zyl,157,2.1959
Mustafizur Rahman,154,2.1875
K C Brathwaite,149,2.1732
Shuvagata Hom,141,2.1492
J C Tredwell,139,2.1430
S N J O'Keefe,137,2.1367
M J Santner,128,2.1072
S K Raina,125,2.0969
S P D Smith,123,2.0899
Nasir Hossain,120,2.0792
M D Shanaka,111,2.0453
J E Root,110,2.0414
Mohammad Shahid,93,1.9685
A U Rashid,90,1.9542
Ehsan Adil,82,1.9138
C H Morris,74,1.8692
Younis Khan,70,1.8451
S R Patel,62,1.7924
Azhar Ali,47,1.6721
S T R Binny,33,1.5185
M J Guptill,31,1.4914
D A Warner,30,1.4771
R G Sharma,20,1.3010
J Blackwood,16,1.2041
Asad Shafiq,11,1.0414
