Name,Rating,LogRating
D W Steyn,887,2.9479
M G Johnson,790,2.8976
G P Swann,761,2.8814
Mohammad Asif,757,2.8791
M Muralitharan,752,2.8762
M Morkel,739,2.8686
Zaheer Khan,729,2.8627
Harbhajan Singh,712,2.8525
J M Anderson,656,2.8169
Shakib Al Hasan,648,2.8116
S C J Broad,626,2.7966
D E Bollinger,616,2.7896
D L Vettori,609,2.7846
Danish Kaneria,599,2.7774
P M Siddle,585,2.7672
J E Taylor,580,2.7634
P L Harris,576,2.7604
I Sharma,562,2.7497
J H Kallis,559,2.7474
Umar Gul,541,2.7332
R W Price,538,2.7308
C S Martin,538,2.7308
F H Edwards,525,2.7202
H M R Herath,515,2.7118
D J J Bravo,514,2.7110
S Sreesanth,512,2.7093
N M Hauritz,508,2.7059
M S Panesar,497,2.6964
S J Benn,494,2.6937
B W Hilfenhaus,470,2.6721
C R D Fernando,448,2.6513
B A W Mendis,440,2.6435
J E C Franklin,429,2.6325
S L Malinga,421,2.6243
S T Finn,414,2.6170
Shahadat Hossain,403,2.6053
K A J Roach,384,2.5843
M T Thushara,376,2.5752
G Onions,365,2.5623
A Mishra,364,2.5611
C H Gayle,349,2.5428
Mohammad Sami,348,2.5416
R P Singh,344,2.5366
J S Patel,342,2.5340
D J G Sammy,339,2.5302
K M D Kulasekara,325,2.5119
R J Harris,315,2.4983
J Botha,307,2.4871
P P Ojha,301,2.4786
T G Southee,300,2.4771
Enamul Haque jnr,294,2.4683
S R Watson,293,2.4669
Shahid Afridi,286,2.4564
Mahmudullah,276,2.4409
M M Patel,275,2.4393
Mohammad Amir,274,2.4378
T T Bresnan,243,2.3856
J P Duminy,240,2.3802
Abdur Rehman,237,2.3747
C T Tremlett,236,2.3729
V Sehwag,229,2.3598
K T G Prasad,225,2.3522
Saeed Ajmal,221,2.3444
U W M Welegedara,220,2.3424
J C Tredwell,194,2.2878
M R Gillespie,190,2.2788
S Shillingford,189,2.2765
L E Plunkett,181,2.2577
A G Cremer,171,2.2330
T Panyangara,167,2.2227
Abdur Razzak,155,2.1903
S R Tendulkar,143,2.1553
S M Katich,139,2.1430
Shoaib Malik,137,2.1367
Mohammad Ashraful,137,2.1367
R J Peterson,135,2.1303
M F Maharoof,132,2.1206
T M Dilshan,126,2.1004
E Chigumbura,121,2.0828
B J Arnel,119,2.0755
Rubel Hossain,116,2.0645
M J Clarke,100,2.0000
W D Parnell,99,1.9956
R R Sarwan,99,1.9956
Shafiul Islam,94,1.9731
Younis Khan,94,1.9731
P D Collingwood,92,1.9638
C B Mpofu,88,1.9445
Yuvraj Singh,88,1.9445
T T Samaraweera,85,1.9294
A J Redmond,83,1.9191
M J Guptill,81,1.9085
A D Mathews,76,1.8808
M J North,65,1.8129
G C Smith,57,1.7559
J D Ryder,48,1.6812
D P M Jayawardene,48,1.6812
P Chawla,45,1.6532
N Deonarine,41,1.6128
M N Samuels,40,1.6021
