Name,Rating,LogRating
D W Steyn,905,2.9566
V D Philander,890,2.9494
H M R Herath,831,2.9196
Saeed Ajmal,819,2.9133
P M Siddle,776,2.8899
G P Swann,770,2.8865
J M Anderson,764,2.8831
R Ashwin,757,2.8791
S C J Broad,715,2.8543
M Morkel,715,2.8543
P P Ojha,706,2.8488
Abdur Rehman,683,2.8344
K A J Roach,682,2.8338
S T Finn,624,2.7952
Shakib Al Hasan,603,2.7803
Zaheer Khan,600,2.7782
T G Southee,597,2.7760
M G Johnson,565,2.7520
N M Lyon,560,2.7482
J L Pattinson,551,2.7412
S Shillingford,550,2.7404
T A Boult,544,2.7356
R J Harris,531,2.7251
R A Jadeja,530,2.7243
D L Vettori,527,2.7218
D J G Sammy,517,2.7135
Harbhajan Singh,515,2.7118
I Sharma,505,2.7033
S R Watson,496,2.6955
J H Kallis,495,2.6946
C T Tremlett,484,2.6848
T T Bresnan,482,2.6830
M S Panesar,482,2.6830
J E Taylor,451,2.6542
U W M Welegedara,449,2.6522
Junaid Khan,438,2.6415
B A W Mendis,418,2.6212
D A J Bracewell,413,2.6160
K M D Kulasekara,399,2.6010
S J Benn,389,2.5899
N Deonarine,376,2.5752
J M Bird,361,2.5575
S T Gabriel,360,2.5563
K J Abbott,354,2.5490
Sohag Gazi,353,2.5478
U T Yadav,353,2.5478
T L Best,350,2.5441
M A Starc,349,2.5428
Mohammad Hafeez,343,2.5353
D Bishoo,329,2.5172
Robiul Islam,321,2.5065
S W Masakadza,308,2.4886
N Wagner,305,2.4843
Shahadat Hossain,304,2.4829
K S Williamson,291,2.4639
R J Peterson,288,2.4594
R M S Eranga,277,2.4425
A Mishra,271,2.4330
C H Gayle,263,2.4200
M N Samuels,250,2.3979
H Masakadza,249,2.3962
Mahmudullah,240,2.3802
V Permaul,238,2.3766
Wahab Riaz,234,2.3692
Imran Tahir,204,2.3096
G J Maxwell,200,2.3010
S P Narine,195,2.2900
B P Martin,187,2.2718
S K Raina,186,2.2695
K T G Prasad,181,2.2577
Rubel Hossain,159,2.2014
M J Clarke,159,2.2014
T Panyangara,154,2.1875
J P Duminy,149,2.1732
R A S Lakmal,148,2.1703
Abdur Razzak,145,2.1614
Rahat Ali,143,2.1553
E Chigumbura,139,2.1430
J C Tredwell,135,2.1303
S R Tendulkar,131,2.1173
B Kumar,129,2.1106
L E Plunkett,126,2.1004
Shoaib Malik,110,2.0414
P Utseya,107,2.0294
A D Mathews,101,2.0043
Younis Khan,99,1.9956
Shafiul Islam,95,1.9777
K P Pietersen,94,1.9731
T L Chatara,84,1.9243
W D Parnell,78,1.8921
B V Vitori,74,1.8692
Ehsan Adil,71,1.8513
A J Redmond,65,1.8129
S Chanderpaul,55,1.7404
G C Smith,52,1.7160
V R Aaron,51,1.7076
D A Warner,47,1.6721
D P M Jayawardene,42,1.6232
S R Patel,40,1.6021
M J Guptill,39,1.5911
