Name,Rating,LogRating
G C Smith,774,2.8887
R T Ponting,755,2.8779
S R Tendulkar,749,2.8745
M E K Hussey,743,2.871
M S Dhoni,741,2.8698
K C Sangakkara,737,2.8675
Mohammad Yousuf,727,2.8615
S Chanderpaul,719,2.8567
K P Pietersen,714,2.8537
M J Clarke,710,2.8513
A Symonds,705,2.8482
A B de Villiers,704,2.8476
H H Gibbs,703,2.847
Yuvraj Singh,697,2.8432
J H Kallis,681,2.8331
G Gambhir,669,2.8254
C H Gayle,666,2.8235
Shoaib Malik,665,2.8228
S B Styris,660,2.8195
P D Collingwood,660,2.8195
B B McCullum,653,2.8149
I R Bell,651,2.8136
S T Jayasuriya,651,2.8136
R R Sarwan,648,2.8116
D P M Jayawardene,645,2.8096
Salman Butt,643,2.8082
L P C Silva,602,2.7796
Younis Khan,599,2.7774
P G Fulton,585,2.7672
M V Boucher,584,2.7664
R Dravid,583,2.7657
V Sehwag,582,2.7649
T M Dilshan,573,2.7582
L R Taylor,565,2.752
J M How,559,2.7474
J D P Oram,547,2.738
O A Shah,538,2.7308
W U Tharanga,537,2.73
B R M Taylor,523,2.7185
Tamim Iqbal,523,2.7185
Shakib Al Hasan,521,2.7168
R S Morton,518,2.7143
A Flintoff,517,2.7135
E Chigumbura,516,2.7126
Misbah ul Haq,516,2.7126
M N Samuels,515,2.7118
A J Strauss,513,2.7101
Mohammad Ashraful,506,2.7042
Shahid Afridi,497,2.6964
R V Uthappa,493,2.6928
S R Watson,491,2.6911
S K Raina,489,2.6893
S O Tikolo,487,2.6875
V Sibanda,487,2.6875
Abdul Razzaq,486,2.6866
A N Cook,481,2.6821
Kamran Akmal,480,2.6812
J P Duminy,479,2.6803
Aftab Ahmed,475,2.6767
T Taibu,473,2.6749
Shahriar Nafees,471,2.673
D J J Bravo,466,2.6684
S Matsikenyeri,462,2.6646
T M Odoyo,458,2.6609
S C Williams,454,2.6571
T Mishra,453,2.6561
A M Samad,441,2.6444
L O B Cann,438,2.6415
C J Chibhabha,435,2.6385
I K Pathan,431,2.6345
N J O'Brien,428,2.6314
R N ten Doeschate,427,2.6304
H Masakadza,425,2.6284
Raqibul Hasan,424,2.6274
C K Kapugedera,422,2.6253
B J Haddin,419,2.6222
A Bagai,415,2.618
K J O'Brien,414,2.617
R S Bopara,411,2.6138
M S Sinclair,408,2.6107
J M Davison,403,2.6053
G W Flower,402,2.6042
G O Jones,401,2.6031
D Ramdin,399,2.601
J R Hopes,396,2.5977
R G Sharma,392,2.5933
J D Ryder,391,2.5922
Imran Farhat,387,2.5877
R R Watson,386,2.5866
W W Hinds,381,2.5809
I S Billcliff,380,2.5798
S Dhaniram,379,2.5786
M F Maharoof,372,2.5705
D L Vettori,365,2.5623
S Chattergoon,363,2.5599
D J Reekers,363,2.5599
C O Obuya,361,2.5575
I H Romaine,361,2.5575
E C Joyce,360,2.5563
D T Johnston,358,2.5539
