Name,Rating
V Kohli,897
A J Finch,871
A D Hales,860
F du Plessis,795
C H Gayle,732
M D K J Perera,707
S K Raina,677
H Masakadza,672
D A Warner,665
Yuvraj Singh,657
J P Duminy,656
T M Dilshan,651
Ahmed Shehzad,647
E J G Morgan,632
S R Watson,618
Shakib Al Hasan,618
M N Samuels,606
M J Guptill,605
Umar Akmal,600
M R Swart,571
Mohammad Shahzad,570
R G Sharma,566
Mohammad Hafeez,564
Mukhtar Ahmed,545
H M Amla,541
K S Williamson,535
L M P Simmons,528
Q de Kock,521
E Chigumbura,519
M S Dhoni,512
S J Myburgh,510
P R Stirling,501
D J J Bravo,499
Tamim Iqbal,488
Shahid Afridi,486
A D Mathews,485
L R Taylor,483
D A Miller,480
Anamul Haque,472
M W Machan,467
T L W Cooper,465
D R Smith,463
M N van Wyk,447
W T S Porterfield,443
A B de Villiers,441
R D Berrington,440
J C Buttler,434
N L T Perera,429
Mushfiqur Rahim,416
K A Pollard,413
K J Coetzer,407
G J Maxwell,403
J E Root,388
W Barresi,380
L Ronchi,366
D J G Sammy,361
C J Chibhabha,347
G C Wilson,347
Sharjeel Khan,333
K J O'Brien,328
J Charles,328
Nasir Hossain,326
S C Williams,323
Shoaib Malik,305
R R Hendricks,296
A M Rahane,290
Noor Ali Zadran,285
H D R Thirimanne,285
J A Morkel,281
P W Borren,279
C S MacLeod,276
A D S Fletcher,267
Gulbadin Naib,259
Mahmudullah,256
V Sibanda,255
N J O'Brien,246
A D Poynter,244
S Dhawan,240
M N Waller,240
Sabbir Rahman,233
Samiullah Shenwari,233
R R Rossouw,230
G Malla,226
Mohammad Nabi,225
M H Cross,223
Sharad Vesawkar,222
C Munro,219
Paras Khadka,217
Karim Sadiq,216
Asghar Stanikzai,201
Nowroz Mangal,201
B N Cooper,197
Najibullah Zadran,195
C J Anderson,191
P L Mommsen,190
S E Marsh,189
C R Ervine,188
R M L Taylor,188
Mashrafe Mortaza,184
Sarfraz Ahmed,182
