Name,Rating,LogRating
A B de Villiers,870,2.9395
H M Amla,861,2.9350
V Kohli,806,2.9063
I J L Trott,789,2.8971
M S Dhoni,763,2.8825
K C Sangakkara,755,2.8779
T M Dilshan,726,2.8609
P R Stirling,680,2.8325
A N Cook,678,2.8312
Misbah ul Haq,678,2.8312
L R Taylor,669,2.8254
S R Watson,667,2.8241
M J Clarke,666,2.8235
M J Guptill,661,2.8202
S K Raina,656,2.8169
B B McCullum,655,2.8162
G J Bailey,649,2.8122
D P M Jayawardene,640,2.8062
Shakib Al Hasan,637,2.8041
I R Bell,634,2.8021
K S Williamson,631,2.8000
B R M Taylor,630,2.7993
Umar Akmal,629,2.7987
J H Kallis,622,2.7938
E J G Morgan,618,2.7910
G C Smith,612,2.7868
Tamim Iqbal,608,2.7839
C H Gayle,604,2.7810
J P Duminy,602,2.7796
K J O'Brien,599,2.7774
S Dhawan,587,2.7686
Nasir Hossain,585,2.7672
J Charles,576,2.7604
K A Pollard,571,2.7566
A D Mathews,569,2.7551
K P Pietersen,566,2.7528
J E Root,564,2.7513
Nasir Jamshed,561,2.7490
D M Bravo,560,2.7482
L D Chandimal,560,2.7482
Mohammad Hafeez,553,2.7427
F du Plessis,552,2.7419
D A Warner,550,2.7404
R G Sharma,539,2.7316
T Mishra,537,2.7300
Yuvraj Singh,534,2.7275
Shahid Afridi,534,2.7275
Mahmudullah,528,2.7226
T L W Cooper,526,2.7210
A Bagai,525,2.7202
P J Hughes,524,2.7193
R A Jadeja,519,2.7152
W U Tharanga,518,2.7143
Mushfiqur Rahim,516,2.7126
A D Russell,513,2.7101
R S Bopara,513,2.7101
A A Obanda,504,2.7024
L M P Simmons,503,2.7016
C O Obuya,501,2.6998
V Sibanda,500,2.6990
Asad Shafiq,500,2.6990
Younis Khan,500,2.6990
E C Joyce,494,2.6937
J D Ryder,493,2.6928
M N Samuels,493,2.6928
H D R Thirimanne,491,2.6911
D J G Sammy,489,2.6893
S C Williams,489,2.6893
C A Ingram,483,2.6839
A C Voges,482,2.6830
H Masakadza,480,2.6812
G C Wilson,479,2.6803
B J Haddin,469,2.6712
Imrul Kayes,466,2.6684
S E Marsh,465,2.6675
G J Maxwell,460,2.6628
E Chigumbura,460,2.6628
C L White,459,2.6618
D J J Bravo,458,2.6609
W T S Porterfield,457,2.6599
C R Ervine,455,2.6580
G D Elliott,452,2.6551
E S Szwarczynski,450,2.6532
 Shoaib Malik,448,2.6513
D A Miller,444,2.6474
N J O'Brien,444,2.6474
Azhar Ali,434,2.6375
M N Waller,428,2.6314
K J Coetzer,428,2.6314
N L McCullum,425,2.6284
R J Nicol,413,2.6160
Mohammad Nabi,413,2.6160
Mohammad Shahzad,412,2.6149
S O Tikolo,409,2.6117
M S Wade,408,2.6107
P W Borren,408,2.6107
J F Mooney,408,2.6107
K O A Powell,405,2.6075
T M Odoyo,393,2.5944
Anamul Haque,384,2.5843
