Name,Rating
N W Bracken,564
Umar Gul,564
B Lee,548
Shahid Afridi,545
D L Vettori,534
Abdur Razzak,520
R P Singh,493
S C J Broad,492
I K Pathan,486
J M Anderson,482
M Morkel,470
C R D Fernando,465
Harbhajan Singh,453
Mohammad Asif,433
M G Johnson,432
A D Mascarenhas,426
S E Bond,419
Sohail Tanvir,399
Shakib Al Hasan,377
J A Morkel,372
J S Patel,369
Syed Rasel,366
S T Jayasuriya,348
A Symonds,347
R J Sidebottom,321
Mashrafe Mortaza,291
M Ntini,289
S L Malinga,289
P D Collingwood,274
K D Mills,271
S B Styris,268
Mohammad Hafeez,244
R Rampaul,243
D J G Sammy,223
J R Hopes,205
D R Smith,190
P J Ongondo,187
J E Taylor,186
J Botha,185
P Utseya,184
F H Edwards,183
J D P Oram,163
G P Swann,161
Mohammad Ashraful,154
E Chigumbura,148
M J Clarke,148
C K Langeveldt,139
T M Odoyo,134
T M Dilshan,134
Shoaib Akhtar,130
J E C Franklin,130
M F Maharoof,123
T G Southee,123
Yasir Arafat,122
D W Steyn,120
M N Samuels,120
D J J Bravo,116
Farhad Reza,112
B W Hilfenhaus,110
S R Watson,110
C J Chibhabha,104
Mahmudullah,98
C H Gayle,96
M H Yardy,95
Shahadat Hossain,92
J K Kamande,75
Fawad Alam,71
Shoaib Malik,70
Naved ul Hasan,60
Abdur Rehman,60
Zaheer Khan,58
L N Onyango,57
R J Peterson,56
M Muralitharan,50
L J Wright,48
S I Mahmood,47
J A R Blain,45
C M Wright,42
J D Nel,42
Younis Khan,40
Abdul Razzaq,39
H A Varaiya,37
G C Smith,37
L E Plunkett,37
C M Bandara,36
G B Hogg,35
R M Haq,34
L P C Silva,33
T Mupariwa,30
A C Voges,30
Yuvraj Singh,29
D R Tuffey,27
K M Dabengwa,25
Iftikhar Anjum,24
R R Sarwan,24
D J Hussey,23
K A J Roach,21
B J Hodge,20
C L White,19
S W Tait,19
