Name,Rating
G P Swann,744
Saeed Ajmal,739
J Botha,715
B A W Mendis,710
Shahid Afridi,704
N L McCullum,682
S L Malinga,652
Mohammad Hafeez,639
S C J Broad,638
D L Vettori,632
K M D Kulasekara,629
M Morkel,629
D J G Sammy,627
S W Tait,622
S R Watson,621
Shakib Al Hasan,620
D T Johnston,617
Abdur Razzak,610
Harbhajan Singh,597
P Utseya,596
M G Johnson,587
T G Southee,583
Umar Gul,580
T T Bresnan,573
R W Price,565
G H Dockrell,558
D W Steyn,551
D J Hussey,544
A D Mathews,530
K D Mills,518
L L Tsotsobe,517
W B Rankin,515
P M Seelaar,513
Sohail Tanvir,508
Mohammad Amir,497
S J Benn,492
D J J Bravo,477
J E Taylor,473
J W Dernbach,466
R M Haq,460
F H Edwards,447
A R Cusack,440
R A Jadeja,438
W D Parnell,435
Abdul Razzaq,431
S P D Smith,426
C R D Fernando,419
Samiullah Shenwari,412
Hamid Hassan,410
H S Baidwan,404
J A Morkel,402
I K Pathan,402
J D P Oram,401
P W Borren,399
H A Varaiya,389
R Ashwin,381
K J O'Brien,381
R E van der Merwe,375
S P Narine,370
Mashrafe Mortaza,369
S R Patel,367
A Nehra,366
I G Butler,363
G D Drummond,360
S T Finn,358
N L T Perera,349
E Chigumbura,343
K M Jarvis,340
D A J Bracewell,335
R Rampaul,335
M N Samuels,335
K A J Roach,333
Rizwan Cheema,330
Mohammad Nabi,329
Mudassar Bukhari,328
Zaheer Khan,326
Shoaib Malik,315
Abdur Rehman,309
R Vinay Kumar,309
C B Mpofu,306
T M Odoyo,305
N O Miller,302
K A Pollard,290
P R Stirling,288
C H Gayle,283
H Osinde,276
J E C Franklin,271
R J Peterson,269
J H Kallis,268
Yasir Arafat,264
I Sharma,262
R D Berrington,262
R McLaren,261
Karim Sadiq,261
T M Dilshan,259
N N Odhiambo,253
Yuvraj Singh,248
Shafiul Islam,235
Shapoor Zadran,234
I Udana,233
