Name,Rating
S Badree,846
S P Narine,805
S M S Senanayake,712
Saeed Ajmal,711
R Ashwin,708
M A Starc,689
N L McCullum,677
S L Malinga,661
Shahid Afridi,660
Mohammad Hafeez,660
Shakib Al Hasan,660
K M D Kulasekara,655
P Utseya,647
D W Steyn,638
G H Dockrell,637
Imran Tahir,622
Abdur Razzak,613
Mudassar Bukhari,611
A D Mathews,589
A R Cusack,562
Samiullah Shenwari,556
Sohail Tanvir,554
S R Watson,552
R A Jadeja,552
Mohammad Nabi,551
M J McClenaghan,544
S T Finn,534
M A A Jamil,534
K Santokie,530
M N Samuels,525
W D Parnell,522
Umar Gul,512
K J O'Brien,511
P M Seelaar,510
P W Borren,508
Mahmudullah,491
T G Southee,484
Yuvraj Singh,482
Shapoor Zadran,479
K D Mills,479
M Morkel,477
N M Coulter Nile,474
J C Tredwell,474
Harbhajan Singh,471
Mashrafe Mortaza,471
B Kumar,469
D J G Sammy,469
T van der Gugten,467
G J Maxwell,457
D J J Bravo,455
D L Vettori,448
W B Rankin,445
Hamid Hassan,443
R S Bopara,440
N L T Perera,428
M R Swart,417
P R Stirling,409
H M R Herath,405
R J Peterson,400
Karim Sadiq,394
R Rampaul,383
S W Tait,383
C J Anderson,382
P J Cummins,380
Al-Amin Hossain,379
Dawlat Zadran,377
M C Sorensen,377
C B Mpofu,363
J P Duminy,351
R McLaren,340
J P Faulkner,336
J A Morkel,328
C H Gayle,323
D E Bollinger,320
Sohag Gazi,318
T L Chatara,313
A D Russell,306
Hamza Hotak,300
T J Murtagh,299
C J Jordan,298
S J Benn,297
S K Raina,296
Mirwais Ashraf,296
K A Pollard,292
Mohammad Amir,288
J E Taylor,285
E Chigumbura,285
T M Dilshan,285
Raza Hasan,280
D A J Bracewell,273
Shoaib Malik,264
A F Milne,263
S P D Smith,262
R D Berrington,262
S C Williams,258
A Nehra,254
A G Cremer,249
T Panyangara,247
C R D Fernando,243
B V Vitori,240
