Name,Rating,LogRating
D W Steyn,905,2.9566
J M Anderson,824,2.9159
T A Boult,814,2.9106
M G Johnson,803,2.9047
S C J Broad,782,2.8932
V D Philander,780,2.8921
H M R Herath,760,2.8808
Yasir Shah,750,2.8751
M Morkel,727,2.8615
T G Southee,713,2.8531
R Ashwin,686,2.8363
K A J Roach,669,2.8254
P M Siddle,634,2.8021
Shakib Al Hasan,619,2.7917
N M Lyon,595,2.7745
I Sharma,567,2.7536
Junaid Khan,557,2.7459
M A Starc,545,2.7364
J E Taylor,530,2.7243
N Wagner,526,2.7210
S J Benn,514,2.7110
M D K Perera,511,2.7084
J R Hazlewood,506,2.7042
S T Finn,489,2.6893
R A Jadeja,480,2.6812
J L Pattinson,467,2.6693
Mohammad Shami,462,2.6646
Harbhajan Singh,454,2.6571
Zulfiqar Babar,443,2.6464
K T G Prasad,437,2.6405
Mohammad Hafeez,432,2.6355
Moeen Ali,413,2.6160
S R Watson,413,2.6160
M D Craig,404,2.6064
D A J Bracewell,401,2.6031
D Bishoo,381,2.5809
 Taijul Islam,381,2.5809
Wahab Riaz,375,2.5740
U T Yadav,367,2.5647
Rahat Ali,361,2.5575
R A S Lakmal,356,2.5514
B Kumar,349,2.5428
J O Holder,321,2.5065
S T Gabriel,317,2.5011
B A Stokes,304,2.4829
J P Duminy,302,2.4800
Imran Tahir,301,2.4786
C J Jordan,293,2.4669
K J Abbott,292,2.4654
D L Piedt,283,2.4518
Jubair Hossain,278,2.4440
Shahadat Hossain,273,2.4362
Mahmudullah,263,2.4200
M A Wood,261,2.4166
S R Harmer,256,2.4082
J D S Neesham,255,2.4065
A Mishra,231,2.3636
K S Williamson,229,2.3598
Imran Khan,228,2.3579
J M Bird,224,2.3502
A D Mathews,214,2.3304
V Permaul,213,2.3284
N Pradeep,204,2.3096
C J Anderson,202,2.3054
M N Samuels,194,2.2878
M J Henry,192,2.2833
V R Aaron,163,2.2122
 Rubel Hossain,163,2.2122
J C Tredwell,161,2.2068
Shuvagata Hom,144,2.1584
S P D Smith,143,2.1553
S K Raina,134,2.1271
P H T Kaushal,133,2.1239
J E Root,123,2.0899
M J Clarke,122,2.0864
Nasir Hossain,121,2.0828
P V D Chameera,113,2.0531
Mohammad Shahid,112,2.0492
Shoaib Malik,92,1.9638
Ehsan Adil,86,1.9345
C R Woakes,81,1.9085
Younis Khan,71,1.8513
S N J O'Keefe,71,1.8513
D Elgar,46,1.6628
M J Guptill,33,1.5185
S R Patel,32,1.5051
D A Warner,31,1.4914
Asad Shafiq,23,1.3617
S van Zyl,22,1.3424
R G Sharma,21,1.3222
J Blackwood,18,1.2553
Azhar Ali,17,1.2304
B B McCullum,13,1.1139
Soumya Sarkar,9,0.9542
A N Cook,8,0.9031
Mominul Haque,8,0.9031
M J Vijay,8,0.9031
M R Marsh,8,0.9031
K D K Vithanage,8,0.9031
L R Taylor,7,0.8451
