Name,Rating,LogRating
H M Amla,903,2.9557
S Chanderpaul,880,2.9445
A B de Villiers,879,2.9440
K C Sangakkara,866,2.9375
M J Clarke,860,2.9345
A N Cook,810,2.9085
C A Pujara,777,2.8904
J H Kallis,756,2.8785
Younis Khan,748,2.8739
I J L Trott,746,2.8727
L R Taylor,724,2.8597
Azhar Ali,713,2.8531
K P Pietersen,708,2.8500
M J Prior,707,2.8494
G C Smith,696,2.8426
Misbah ul Haq,687,2.8370
M N Samuels,663,2.8215
D P M Jayawardene,639,2.8055
Asad Shafiq,639,2.8055
M S Dhoni,637,2.8041
C H Gayle,637,2.8041
I R Bell,634,2.8021
V Kohli,634,2.8021
D M Bravo,634,2.8021
S R Tendulkar,632,2.8007
A D Mathews,600,2.7782
B B McCullum,598,2.7767
A N Petersen,590,2.7709
Shakib Al Hasan,589,2.7701
F du Plessis,584,2.7664
D A Warner,574,2.7589
Tamim Iqbal,570,2.7559
K S Williamson,568,2.7543
Mushfiqur Rahim,566,2.7528
B R M Taylor,566,2.7528
L D Chandimal,562,2.7497
G Gambhir,555,2.7443
E J M Cowan,553,2.7427
Nasir Hossain,546,2.7372
M J Vijay,523,2.7185
J E Root,513,2.7101
Mohammad Hafeez,510,2.7076
S R Watson,505,2.7033
Taufeeq Umar,497,2.6964
D L Vettori,488,2.6884
P J Hughes,476,2.6776
D G Brownlie,475,2.6767
B J Haddin,470,2.6721
H A P W Jayawardena,452,2.6551
D J G Sammy,440,2.6435
J P Duminy,434,2.6375
D Ramdin,432,2.6355
S P D Smith,432,2.6355
M J Guptill,432,2.6355
K O A Powell,429,2.6325
R Ashwin,424,2.6274
B J Watling,421,2.6243
S Dhawan,416,2.6191
K A Edwards,399,2.6010
H D Rutherford,398,2.5999
J M Bairstow,396,2.5977
P G Fulton,375,2.5740
Shoaib Malik,369,2.5670
N Deonarine,368,2.5658
S C J Broad,364,2.5611
N R D Compton,361,2.5575
G P Swann,360,2.5563
H D R Thirimanne,357,2.5527
Mahmudullah,351,2.5453
V D Philander,350,2.5441
M A Starc,347,2.5403
Adnan Akmal,343,2.5353
Mominul Haque,329,2.5172
V Sibanda,326,2.5132
S K Raina,319,2.5038
T M K Mawoyo,311,2.4928
T G Southee,304,2.4829
M G Johnson,302,2.4800
P M Siddle,299,2.4757
U T Khawaja,293,2.4669
T T Bresnan,289,2.4609
D S Smith,282,2.4502
J L Pattinson,281,2.4487
Harbhajan Singh,278,2.4440
M A Vermeulen,277,2.4425
H Masakadza,268,2.4281
D Elgar,266,2.4249
R J Peterson,258,2.4116
A Mishra,257,2.4099
F D M Karunaratne,255,2.4065
M N Waller,254,2.4048
K C Brathwaite,249,2.3962
Khurram Manzoor,246,2.3909
Imrul Kayes,242,2.3838
W U Tharanga,234,2.3692
C R Ervine,227,2.3560
E Chigumbura,222,2.3464
R W Chakabva,217,2.3365
D W Steyn,209,2.3201
S E Marsh,209,2.3201
