Name,Rating,LogRating
M A Starc,783,2.8938
Imran Tahir,734,2.8657
T A Boult,727,2.8615
D W Steyn,717,2.8555
S P Narine,709,2.8506
Saeed Ajmal,682,2.8338
Shakib Al Hasan,680,2.8325
M Morkel,666,2.8235
R Ashwin,654,2.8156
J M Anderson,650,2.8129
Mohammad Shami,628,2.798
S T Finn,617,2.7903
H M R Herath,615,2.7889
Mohammad Irfan,612,2.7868
J P Faulkner,585,2.7672
S M S Senanayake,582,2.7649
Mohammad Hafeez,581,2.7642
J C Tredwell,581,2.7642
B Kumar,579,2.7627
R A Jadeja,578,2.7619
T G Southee,573,2.7582
A D Mathews,572,2.7574
S L Malinga,570,2.7559
U T Yadav,568,2.7543
J O Holder,566,2.7528
Mashrafe Mortaza,562,2.7497
R Rampaul,560,2.7482
T L Chatara,553,2.7427
V D Philander,552,2.7419
G H Dockrell,539,2.7316
K A J Roach,538,2.7308
R A S Lakmal,526,2.721
J E Taylor,523,2.7185
P Utseya,520,2.716
Mohammad Nabi,516,2.7126
W D Parnell,510,2.7076
T M Dilshan,510,2.7076
X J Doherty,509,2.7067
M J Henry,504,2.7024
A R Cusack,503,2.7016
A Mishra,501,2.6998
Junaid Khan,493,2.6928
Moeen Ali,492,2.692
Wahab Riaz,492,2.692
C J Jordan,489,2.6893
M J McClenaghan,487,2.6875
Arafat Sunny,481,2.6821
N L McCullum,480,2.6812
K M D Kulasekara,478,2.6794
Hamid Hassan,478,2.6794
Rubel Hossain,477,2.6785
M M Sharma,477,2.6785
Shapoor Zadran,477,2.6785
B A W Mendis,477,2.6785
R M Haq,474,2.6758
S C J Broad,474,2.6758
A D Russell,473,2.6749
T T Bresnan,471,2.673
C R Woakes,467,2.6693
Mirwais Ashraf,460,2.6628
D J G Sammy,460,2.6628
J P Duminy,451,2.6542
J R Hazlewood,450,2.6532
G J Maxwell,441,2.6444
A R Patel,438,2.6415
A F Milne,435,2.6385
S J Benn,435,2.6385
I Sharma,431,2.6345
S Prasanna,425,2.6284
J H Davey,424,2.6274
S C Williams,420,2.6232
K J Abbott,419,2.6222
S R Watson,419,2.6222
Umar Gul,418,2.6212
C J Anderson,417,2.6201
P R Stirling,417,2.6201
A M Phangiso,416,2.6191
N O Miller,412,2.6149
K J O'Brien,411,2.6138
R S Bopara,409,2.6117
Mustafizur Rahman,408,2.6107
J F Mooney,408,2.6107
Mahmudullah,407,2.6096
M N Samuels,406,2.6085
N L T Perera,405,2.6075
B A Stokes,396,2.5977
Taskin Ahmed,392,2.5933
S K Raina,384,2.5843
I Wardlaw,383,2.5832
N M Coulter Nile,380,2.5798
Dawlat Zadran,378,2.5775
 Harbhajan Singh,378,2.5775
T Panyangara,371,2.5694
Samiullah Shenwari,366,2.5635
B V Vitori,361,2.5575
C B Mpofu,352,2.5465
K T G Prasad,347,2.5403
A U Rashid,344,2.5366
Nasir Hossain,339,2.5302
D S Kulkarni,334,2.5237
