Name,AdaptTest,AdaptODI,AdaptT20
A J Finch,0,0,0
A M Salvi,0,0,0
A Mithun,0,0,0
A Mukund,0,0,0
A A Jhunjhunwala,0,0,0
A M Nayar,0,0,0
A S Raut,0,0,0
A A Kazi,0,0,0
A N Ahmed,0,0,0
A C Voges,0.166666666666667,0.166666666666667,0
A C Gilchrist,0,0,0
A F Milne,0.333333333333333,0.333333333333333,0
A J Hollioake,0,0,0
A Zampa,0.166666666666667,0.166666666666667,0
A P Dole,0,0,0
A D Mascarenhas,0.333333333333333,0.333333333333333,0
A C Blizzard,0,0,0
A M Rahane,0,0,0
A B Agarkar,0.5,0.333333333333333,0.5
A Chandila,0,0,0
A D Nath,0,0,0
A R Patel,0.166666666666667,0.166666666666667,0
A C Thomas,0.166666666666667,0.166666666666667,0
A G Murtaza,0,0,0
A Mishra,0.166666666666667,0.333333333333333,0.166666666666667
A Singh,0,0,0
A Uniyal,0,0,0
A A Reddy,0,0,0
A Rajan,0,0,0
A D Russell,0.666666666666667,0.5,0.166666666666667
A Nel,0.333333333333333,0.333333333333333,0.333333333333333
A B McDonald,0,0,0
A Flintoff,0.5,0.5,0.666666666666667
A Symonds,0.5,0.166666666666667,0.333333333333333
A D Mathews,0.666666666666667,0.5,0.166666666666667
A Kumble,0.5,0.5,1
A A Chavan,0,0,0
A N Sharma,0,0,0
A Rajpoot,0,0,0
A K Pathan,0,0,0
A Nehra,0.833333333333333,0.5,0.333333333333333
A A Noffke,0.166666666666667,0.166666666666667,0
A B Dinda,0.166666666666667,0.166666666666667,0
A L Menaria,0,0,0
A M Sagar,0.333333333333333,0,0.333333333333333
B Akhil,0,0,0
B A W Mendis,0.666666666666667,0.666666666666667,0.333333333333333
B M A J Mendis,0.166666666666667,0.166666666666667,0
B B Sran,0,0,0
B J Rohrer,0,0,0
B Laughlin,0.166666666666667,0.166666666666667,0
B R Dunk,0,0,0
B C J Cutting,0.166666666666667,0.166666666666667,0
B W Hilfenhaus,0.166666666666667,0.333333333333333,0.166666666666667
B E Hendricks,0.166666666666667,0.166666666666667,0
B Chipli,0,0,0
B A Bhatt,0,0,0
B Kumar,0.5,0.333333333333333,0.166666666666667
B B Samantray,0,0,0
B Sharma,0,0,0
B A Sumanth,0,0,0
