Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings
Glenn James Maxwell,64,59,7,1713,102,32.94,1,13,124.85,36,NA
Graeme Craig Smith,196,193,10,6989,141,38.19,10,47,80.86,105,NA
Gurinder Singh Sandhu,2,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Gurkeerat Singh Mann,3,3,1,13,8,6.5,0,0,100,1,NA
Harbhajan Singh,234,126,35,1213,49,13.32,0,0,80.75,71,NA
Hashim Mahomed Amla,133,130,9,6259,159,51.72,22,29,88.93,67,NA
Herschelle Herman Gibbs,248,240,16,8094,175,36.13,21,37,83.24,108,NA
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,30,17,1,254,56,15.87,0,1,71.54,7,NA
Irfan Khan Pathan,120,87,21,1544,83,23.39,0,5,79.54,21,NA
Ishant Sharma,80,28,13,72,13,4.8,0,0,35.46,19,NA
Jacob David Philip Oram,160,116,15,2434,101,24.09,1,13,86.65,51,NA
Jacques Henry Kallis,323,309,53,11550,139,45.11,17,86,73.14,131,NA
James Douglas Sheehan Neesham,19,16,5,238,42,21.63,0,0,95.58,7,NA
James Edward Charles Franklin,110,80,27,1271,98,23.98,0,4,76.98,26,NA
James Peter Faulkner,50,38,16,873,116,39.68,1,4,111.77,14,NA
James Redfern Hopes,84,61,8,1326,63,25.01,0,3,93.71,25,NA
Jason Omar Holder,37,25,8,383,57,22.52,0,2,96.47,11,NA
Jasprit Jasbirsingh Bumrah,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Jaydev Dipakbhai Unadkat,7,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Jean-Paul Duminy,152,137,31,4064,150,38.33,4,21,83.09,64,NA
Jerome Everton Taylor,83,39,9,260,43,8.66,0,0,84.69,20,NA
Jesse Daniel Ryder,48,42,1,1362,107,33.21,3,6,95.31,15,NA
Joginder Sharma,4,3,2,35,29,35,0,0,116.66,3,NA
Johan Botha,76,48,17,578,46,18.64,0,0,83.4,34,NA
Johannes Albertus Morkel,56,41,10,760,97,24.51,0,2,101.33,15,NA
Johannes Jacobus van der Wath,10,8,2,89,37,14.83,0,0,127.14,3,NA
John Wayne Hastings,20,16,9,180,48,25.71,0,0,98.9,5,NA
Joseph Charles Buttler,70,61,10,1798,129,35.25,4,7,118.75,87,9
Juan Theron,4,1,0,5,5,5,0,0,100,4,NA
Justin Lee Langer,8,7,2,160,36,32,0,0,88.88,2,1
Justin Miles Kemp,79,60,18,1371,100,32.64,1,9,82.78,31,NA
Kamran Akmal,154,135,14,3168,124,26.18,5,10,83.83,156,31
Kane Stuart Williamson,93,87,9,3666,145,47,7,25,84.02,38,NA
Kane William Richardson,12,4,2,30,19,15,0,0,157.89,1,NA
Karn Vinod Sharma,2,0,NA,NA,NA,NA,NA,NA,NA,3,NA
Kedar Mahadeo Jadhav,4,4,1,146,105,48.66,1,0,106.56,2,NA
Kemar Andre Jamal Roach,67,42,26,216,34,13.5,0,0,52.04,16,NA
Kevin Peter Pietersen,134,123,16,4422,130,41.32,9,25,86.7,39,NA
Khan Abdur Razzak,153,97,39,779,53,13.43,0,1,76.37,32,NA
Kieron Adrian Pollard,93,87,5,2109,119,25.71,3,8,93.81,50,NA
Krishankumar Dinesh Karthik,71,60,13,1313,79,27.93,0,7,73.22,49,7
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,173,116,35,1273,73,15.71,0,4,81.08,43,NA
Kumar Chokshanada Sangakkara,397,373,40,13975,169,41.96,25,90,78.88,397,95
Kyle John Abbott,25,11,4,75,23,10.71,0,0,61.47,7,NA
Lakshmipathy Balaji,30,16,6,120,21,12,0,0,78.94,11,NA
Laxmi Ratan Shukla,3,2,0,18,13,9,0,0,94.73,1,NA
Lendl Mark Platter Simmons,68,65,3,1958,122,31.58,2,16,73.05,28,NA
Lindamlilage Prageeth Chamara Silva,75,62,7,1587,107,28.85,1,13,70.37,20,NA
Luke James Wright,50,39,4,707,52,20.2,0,2,86.21,18,NA
Luke Ronchi,70,54,8,1159,170,25.19,1,3,117.42,88,8
Luteru Ross Poutoa Lote Taylor,171,157,27,5707,131,43.9,15,32,82.57,110,NA
Magina Thilan Thushara Mirando,38,27,6,392,54,18.66,0,1,92.45,4,NA
Mahendra Singh Dhoni,272,239,67,8744,183,50.83,8,60,88.75,254,86
Makhaya Ntini,172,46,23,199,42,8.65,0,0,66.77,30,NA
Manish Krishnanand Pandey,4,3,1,181,104,90.5,1,1,105.23,0,NA
Manoj Kumar Tiwary,12,12,1,287,104,26.09,1,1,71.21,4,NA
Manpreet Singh Gony,2,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Marchant de Lange,4,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Marcus Peter Stoinis,1,1,0,4,4,4,0,0,80,0,NA
Mark Verdon Boucher,290,216,57,4523,147,28.44,1,25,84.66,395,21
Marlon Nathaniel Samuels,179,169,26,4817,133,33.68,9,26,75.18,47,NA
Martin James Guptill,129,126,14,4844,237,43.25,10,30,86.08,66,NA
Mashrafe Bin Mortaza,158,118,21,1428,51,14.72,0,1,88.8,49,NA
Mathurage Don Kusal Janith Perera,51,49,3,1259,116,27.36,2,7,92.16,20,NA
Matthew Lawrence Hayden,160,154,15,6131,181,44.1,10,36,78.98,68,NA
Matthew Scott Wade,63,55,6,1175,75,23.97,0,7,76.64,80,7
Michael Edward Killeen Hussey,185,157,44,5442,109,48.15,3,39,87.16,105,NA
Michael John Clarke,245,223,44,7981,130,44.58,8,58,78.99,106,NA
Michael John Lumb,3,3,0,165,106,55,1,0,81.28,1,NA
Misbah-ul-Haq Khan Niazi,162,149,31,5122,96,43.4,0,42,73.75,66,NA
Mitchell Aaron Starc,47,19,11,163,52,20.37,0,1,84.45,12,NA
Mitchell Guy Johnson,153,91,32,951,73,16.11,0,2,96.35,35,NA
Mitchell John McClenaghan,48,14,10,108,34,27,0,0,78.26,4,NA
Mitchell Ross Marsh,32,30,7,887,102,38.56,1,6,95.06,13,NA
Mohamed Farveez Maharoof,104,71,17,1042,69,19.29,0,2,84.44,25,NA
Mohammad Ashraful,175,168,13,3468,109,22.37,3,20,70.11,35,NA
Mohammad Asif,35,16,7,34,6,3.77,0,0,34,3,NA
Mohammad Hafeez,175,175,10,5356,140,32.46,11,28,74.98,63,NA
Mohammad Imran Tahir,56,20,10,82,23,8.2,0,0,67.76,13,NA
Mohammad Kaif,125,110,24,2753,111,32.01,2,17,72.03,55,NA
Mohammad Mustafizur Rahman,9,5,3,15,9,7.5,0,0,45.45,2,NA
Mohammad Younis Khan,265,255,23,7249,144,31.24,7,48,75.29,135,NA
Mohammed Shami,47,21,11,109,25,10.9,0,0,87.2,16,NA
Mohit Sharma,26,9,5,31,11,7.75,0,0,46.96,6,NA
Moises Constantino Henriques,6,6,1,36,12,7.2,0,0,57.14,1,NA
Morné Morkel,3,2,1,29,25,29,0,0,87.87,2,NA
Morne Nico van Wyk,17,17,1,425,82,26.56,0,4,68.88,10,1
Munaf Musa Patel,70,27,16,74,15,6.72,0,0,66.66,11,NA
Murali Kartik,37,14,5,126,32,14,0,0,70.78,10,NA
Murali Vijay,17,16,0,339,72,21.18,0,1,66.99,9,NA
Muttiah Muralitharan,343,161,63,674,33,6.87,0,0,77.73,128,NA
Naman Vijaykumar Ojha,1,1,0,1,1,1,0,0,14.28,0,1
Narangoda Liyanaarachchilage Tissara Chirantha Perera,110,81,13,1178,80,17.32,0,5,108.77,49,NA
Nathan Leslie McCullum,84,62,11,1070,65,20.98,0,4,87.7,41,NA
