Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy
Kemar Andre Jamal Roach,6779,214,3689,122,6-48,30.23,6,1,55.56,3.26
Kevin Peter Pietersen,1311,15,886,10,3-52,88.6,0,0,131.1,4.05
Khan Abdur Razzak,2817,65,1550,23,3-93,67.39,0,0,122.47,3.3
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,3567,120,1794,48,4-21,37.37,0,0,74.31,3.01
Kumar Chokshanada Sangakkara,84,0,49,0,0-4,NA,NA,NA,NA,3.5
Kyle John Abbott,1243,60,537,21,7-29,25.57,2,0,59.19,2.59
Lakshmipathy Balaji,1756,64,1004,27,5-76,37.18,1,0,65.03,3.43
Lendl Mark Platter Simmons,192,1,147,1,1-60,147,0,0,192,4.59
Lindamlilage Prageeth Chamara Silva,102,2,65,1,1-57,65,0,0,102,3.82
Luteru Ross Poutoa Lote Taylor,96,3,48,2,2-4,24,0,0,48,3
Magina Thilan Thushara Mirando,1668,35,1040,28,5-83,37.14,1,0,59.57,3.74
Mahendra Singh Dhoni,96,1,67,0,0-1,NA,NA,NA,NA,4.18
Makhaya Ntini,20834,759,11242,390,7-37,28.82,18,4,53.42,3.23
Marchant de Lange,448,10,277,9,7-81,30.77,1,0,49.77,3.7
Mark Verdon Boucher,8,0,6,1,1-6,6,0,0,8,4.5
Marlon Nathaniel Samuels,4392,79,2445,41,4-13,59.63,0,0,107.12,3.34
Martin James Guptill,350,3,265,5,3-37,53,0,0,70,4.54
Mashrafe Bin Mortaza,5990,202,3239,78,4-60,41.52,0,0,76.79,3.24
Matthew Lawrence Hayden,54,0,40,0,0-7,NA,NA,NA,NA,4.44
Matthew Scott Wade,6,1,0,0,0-0,NA,NA,NA,NA,0
Michael Edward Killeen Hussey,588,11,306,7,1-0,43.71,0,0,84,3.12
Michael John Clarke,2435,62,1184,31,6-9,38.19,2,0,78.54,2.91
Mitchell Aaron Starc,4891,157,2783,91,6-111,30.58,4,0,53.74,3.41
Mitchell Guy Johnson,16001,514,8891,313,8-61,28.4,12,3,51.12,3.33
Mitchell Ross Marsh,1465,50,863,25,4-61,34.52,0,0,58.6,3.53
Mohamed Farveez Maharoof,2940,107,1631,25,4-52,65.24,0,0,117.6,3.32
Mohammad Ashraful,1733,14,1271,21,2-42,60.52,0,0,82.52,4.4
Mohammad Asif,5171,200,2583,106,6-41,24.36,7,1,48.78,2.99
Mohammad Hafeez,3953,113,1763,52,4-16,33.9,0,0,76.01,2.67
Mohammad Imran Tahir,3925,86,2294,57,5-32,40.24,2,0,68.85,3.5
Mohammad Kaif,18,0,4,0,0-4,NA,NA,NA,NA,1.33
Mohammad Mustafizur Rahman,136,6,58,4,4-37,14.5,0,0,34,2.55
Mohammad Younis Khan,804,18,491,9,2-23,54.55,0,0,89.33,3.66
Mohammed Shami,2679,62,1699,47,5-47,36.14,2,0,57,3.8
Moises Constantino Henriques,318,12,155,2,1-48,77.5,0,0,159,2.92
Morné Morkel,13640,490,7098,242,6-23,29.33,6,0,56.36,3.12
Munaf Musa Patel,2658,95,1349,35,4-25,38.54,0,0,75.94,3.04
Murali Kartik,1932,74,820,24,4-44,34.16,0,0,80.5,2.54
Murali Vijay,228,5,107,1,1-12,107,0,0,228,2.81
Muttiah Muralitharan,43715,1786,18023,795,9-51,22.67,67,22,54.98,2.47
Narangoda Liyanaarachchilage Tissara Chirantha Perera,954,20,653,11,4-63,59.36,0,0,86.72,4.1
Owais Alam Shah,30,0,31,0,0-12,NA,NA,NA,NA,6.2
Pankaj Singh,450,17,292,2,2-113,146,0,0,225,3.89
Patrick James Cummins,264,8,117,7,6-79,16.71,1,0,37.71,2.65
Paul David Collingwood,1905,51,1018,17,3-23,59.88,0,0,112.05,3.2
Piyush Pramod Chawla,492,13,270,7,4-69,38.57,0,0,70.28,3.29
Pragyan Prayish Ojha,7633,298,3420,113,6-47,30.26,7,1,67.54,2.68
Praveenkumar Sakat Singh,1611,68,697,27,5-106,25.81,1,0,59.66,2.59
Rahul Sharad Dravid,120,4,39,1,1-18,39,0,0,120,1.95
Ramesh Rajaram Powar,252,8,118,6,3-33,19.66,0,0,42,2.8
Ramnaresh Ronnie Sarwan,2022,33,1163,23,4-37,50.56,0,0,87.91,3.45
Ranganath Vinay Kumar,78,0,73,1,1-73,73,0,0,78,5.61
Ravichandran Ashwin,9224,320,4470,176,7-66,25.39,16,4,52.4,2.9
Ravinder Singh Bopara,434,10,290,1,1-39,290,0,0,434,4
Ravindranath Rampaul,3440,111,1705,49,4-48,34.79,0,0,70.2,2.97
Ravindrasinh Anirudhsinh Jadeja,4269,200,1616,68,6-138,23.76,4,0,62.77,2.27
Raymond William Price,6135,242,2885,80,6-73,36.06,5,1,76.68,2.82
Ricky Thomas Ponting,587,24,276,5,1-0,55.2,0,0,117.4,2.82
Robert John Quiney,150,12,29,0,0-3,NA,NA,NA,NA,1.16
Robin John Peterson,2515,85,1416,38,5-33,37.26,1,0,66.18,3.37
Rohit Gurunath Sharma,328,3,197,2,1-26,98.5,0,0,164,3.6
Rudra Pratap Singh,2534,59,1682,40,5-59,42.05,1,0,63.35,3.98
Ryan James Harris,5736,258,2658,113,7-117,23.52,5,0,50.76,2.78
Ryan McLaren,264,8,162,3,2-72,54,0,0,88,3.68
Sachin Ramesh Tendulkar,4240,83,2492,46,3-10,54.17,0,0,92.17,3.52
Sahibzada Mohammad Shahid Khan Afridi,3194,69,1709,48,5-52,35.6,1,0,66.54,3.21
Salman Butt,137,1,106,1,1-36,106,0,0,137,4.64
Sanath Teran Jayasuriya,8188,323,3366,98,5-34,34.34,2,0,83.55,2.46
Sanjay Bapusaheb Bangar,762,35,343,7,2-23,49,0,0,108.85,2.7
Scott Bernard Styris,1960,77,1015,20,3-28,50.75,0,0,98,3.1
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,138,2,96,0,0-30,NA,NA,NA,NA,4.17
Separamadu Lasith Malinga Swarnajith,5209,112,3349,101,5-50,33.15,3,0,51.57,3.85
Shakib Al Hasan,9782,307,4897,147,7-36,33.31,14,1,66.54,3
Shane Edward Bond,3372,114,1922,87,6-51,22.09,5,1,38.75,3.41
Shane Keith Warne,40704,1761,17995,708,8-71,25.41,37,10,57.49,2.65
Shane Robert Watson,5495,240,2526,75,6-33,33.68,3,0,73.26,2.75
Shanthakumaran Sreesanth,5419,163,3271,87,5-40,37.59,3,0,62.28,3.62
Shaun Maclean Pollock,24353,1222,9733,421,7-87,23.11,16,1,57.84,2.39
Shaun William Tait,414,6,302,5,3-97,60.4,0,0,82.8,4.37
Shikhar Dhawan,54,2,18,0,0-0,NA,NA,NA,NA,2
Shivnarine Chanderpaul,1740,50,883,9,1-2,98.11,0,0,193.33,3.04
Shoaib Akhtar,8143,237,4574,178,6-11,25.69,12,2,45.74,3.37
Shoaib Malik,2712,61,1519,32,4-33,47.46,0,0,84.75,3.36
Simon Mathew Katich,1039,21,635,21,6-65,30.23,1,0,49.47,3.66
Sohail Tanvir,504,15,316,5,3-83,63.2,0,0,100.8,3.76
Sourav Chandidas Ganguly,3117,108,1681,32,3-28,52.53,0,0,97.4,3.23
Steven Peter Devereux Smith,1158,19,837,16,3-18,52.31,0,0,72.37,4.33
